subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	82	 9	 7	1	4573625	4577810	7	7	1
1	83	 9	 6	1	4588238	4589939	6	6	1
1	81	 9	 7	1	4611212	4613038	7	7	1
1	32	 8	 6	1	4656316	4657947	6	6	1
1	4	 4	 7	1	4677212	4678864	7	7	1
1	23	 7	 7	1	4699669	4701137	7	7	1
1	29	 5	 6	1	4721059	4723000	6	6	1
1	30	 6	 6	1	4761104	4762820	6	6	1
1	27	 3	 7	1	4770161	4771577	7	7	1
1	3	 3	 6	1	4828836	4830315	6	6	1
1	31	 7	 7	1	4841628	4842913	7	7	1
1	11	 3	 7	1	4855433	4856990	6	7	0
1	6	 6	 7	1	4864661	4866092	7	7	1
1	17	 1	 6	1	4874349	4875767	6	6	1
1	21	 5	 6	1	4915297	4917225	6	6	1
1	8	 8	 7	1	4927189	4928967	7	7	1
1	20	 4	 6	1	4935527	4937606	6	6	1
1	12	 4	 7	1	4944241	4946928	7	7	1
1	19	 3	 6	1	4953919	4957289	7	6	0
1	25	 1	 7	1	4989629	4991265	7	7	1
1	24	 8	 7	1	5000029	5001825	7	7	1
1	28	 4	 7	1	5072291	5074085	7	7	1
1	13	 5	 6	1	5115541	5116858	6	6	1
1	22	 6	 6	1	5127311	5128587	6	6	1
1	10	 2	 7	1	5146255	5148414	7	7	1
1	9	 1	 6	1	5170901	5172896	6	6	1
1	18	 2	 7	1	5189666	5191201	7	7	1
1	5	 5	 7	1	5206599	5208655	7	7	1
1	7	 7	 6	1	5225332	5230187	6	6	1
1	1	 1	 7	1	5242295	5244401	7	7	1
1	2	 2	 6	1	5264352	5268278	6	6	1
1	15	 7	 6	1	5289007	5290654	6	6	1
1	16	 8	 7	1	5312657	5314954	7	7	1
1	26	 2	 6	1	5336352	5340075	7	6	0
1	14	 6	 6	1	5365225	5367951	6	6	1
2	83	 9	 6	1	2293142	2296378	6	6	1
2	82	 9	 7	1	2328281	2330848	7	7	1
2	81	 9	 7	1	2338480	2340603	7	7	1
2	8	 1	 7	1	2349163	2351807	7	7	1
2	14	 7	 6	1	2386897	2389513	6	6	1
2	21	 6	 6	1	2429294	2430883	6	6	1
2	7	 8	 6	1	2449255	2452297	6	6	1
2	11	 4	 7	1	2460683	2463938	7	7	1
2	12	 5	 7	1	2486423	2488652	7	7	1
2	30	 7	 6	1	2507513	2509538	6	6	1
2	6	 7	 7	1	2538538	2541480	7	7	1
2	23	 8	 7	1	2549026	2551309	7	7	1
2	3	 4	 6	1	2559621	2561324	6	6	1
2	32	 1	 6	1	2570581	2572171	6	6	1
2	13	 6	 6	1	2585003	2586263	6	6	1
2	19	 4	 6	1	2593584	2597491	6	6	1
2	29	 6	 6	1	2604939	2607641	6	6	1
2	10	 3	 7	1	2638467	2641258	7	7	1
2	22	 7	 6	1	2689633	2691367	6	6	1
2	26	 3	 6	1	2702624	2704716	6	6	1
2	24	 1	 7	1	2713388	2719768	7	7	1
2	25	 2	 7	1	2729344	2731193	7	7	1
2	15	 8	 6	1	2749345	2750420	6	6	1
2	2	 3	 6	1	2765895	2767607	6	6	1
2	1	 2	 7	1	2822019	2824173	7	7	1
2	17	 2	 6	1	2837914	2838971	6	6	1
2	4	 5	 7	1	2872993	2874930	6	7	0
2	20	 5	 6	1	2882946	2884959	6	6	1
2	9	 2	 6	1	2895235	2896313	6	6	1
2	31	 8	 7	1	2974681	2979764	7	7	1
2	27	 4	 7	1	3010850	3013723	6	7	0
2	16	 1	 7	1	3031034	3033837	7	7	1
2	5	 6	 7	1	3058143	3060662	7	7	1
2	28	 5	 7	1	3078991	3080808	7	7	1
2	18	 3	 7	1	3090526	3092505	7	7	1
3	83	 9	 6	1	28109023	28111033	6	6	1
3	82	 9	 7	1	28119113	28121495	7	7	1
3	81	 9	 7	1	28148259	28149786	7	7	1
3	11	 5	 7	1	28189151	28191943	7	7	1
3	29	 7	 6	1	28240648	28242779	6	6	1
3	18	 4	 7	1	28336981	28339292	7	7	1
3	20	 6	 6	1	28367060	28370200	6	6	1
3	26	 4	 6	1	28383136	28385989	6	6	1
3	2	 4	 6	1	28413082	28416283	6	6	1
3	14	 8	 6	1	28426584	28430237	6	6	1
3	31	 1	 7	1	28453718	28461294	7	7	1
3	6	 8	 7	1	28500063	28502696	6	7	0
3	4	 6	 7	1	28559579	28561005	7	7	1
3	24	 2	 7	1	28580612	28582913	7	7	1
3	27	 5	 7	1	28599028	28600702	7	7	1
3	30	 8	 6	1	28611534	28613381	6	6	1
3	22	 8	 6	1	28618903	28620492	6	6	1
3	16	 2	 7	1	28626616	28629062	7	7	1
3	28	 6	 7	1	28636277	28638493	7	7	1
3	1	 3	 7	1	28697242	28699909	7	7	1
3	21	 7	 6	1	28705924	28707678	6	6	1
3	3	 5	 6	1	28714425	28716038	6	6	1
3	10	 4	 7	1	28728874	28730901	7	7	1
3	7	 1	 6	1	28741198	28744911	6	6	1
3	25	 3	 7	1	28758640	28760819	7	7	1
3	5	 7	 7	1	28784409	28786319	7	7	1
3	19	 5	 6	1	28794099	28797237	6	6	1
3	13	 7	 6	1	28809767	28811428	6	6	1
3	9	 3	 6	1	28841325	28843724	6	6	1
3	15	 1	 6	1	28850047	28851465	6	6	1
3	12	 6	 7	1	28875994	28878211	7	7	1
3	32	 2	 6	1	28884655	28886469	6	6	1
3	8	 2	 7	1	28901991	28903237	7	7	1
3	23	 1	 7	1	28909738	28911245	7	7	1
3	17	 3	 6	1	28934543	28936152	6	6	1
4	81	 9	 7	1	7308508	7310753	7	7	1
4	82	 9	 7	1	7326615	7329797	7	7	1
4	83	 9	 6	1	7337627	7338941	6	6	1
4	27	 6	 7	1	7345338	7346635	7	7	1
4	31	 2	 7	1	7380066	7381268	7	7	1
4	21	 8	 6	1	7402598	7404160	6	6	1
