seq,subj,item,cond,R1,R2,R3,R4
57,1,1,1,1,0,0,0
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,2,0,,,,
60,1,2,2,1,0,,1
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
17,1,3,3,1,1,0,1
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
3,1,4,4,1,0,0,1
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
54,1,5,5,1,0,1,0
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
20,1,6,6,1,1,1,0
0,1,6,0,,,,
0,1,6,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
56,1,7,7,1,0,0,0
0,1,7,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
27,1,8,8,1,0,0,0
50,1,9,1,1,0,0,0
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
19,1,11,3,1,0,1,1
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
28,1,12,4,0,0,1,0
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
45,1,13,5,1,1,1,1
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
68,1,14,6,1,1,0,0
0,1,14,0,,,,
0,1,14,0,,,,
0,1,15,0,,,,
0,1,15,0,,,,
0,1,15,0,,,,
0,1,15,0,,,,
0,1,15,0,,,,
0,1,15,0,,,,
