"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.45,0.09,-15.46,0
"prev.PB",0.14,0.09,1.7,0.09
"prev.Orth_PB",0.04,0.08,0.45,0.65
"deg1",0.09,0.04,2.15,0.03
"prev.PB:deg1",0.17,0.09,1.99,0.05
"prev.Orth_PB:deg1",0.03,0.08,0.38,0.7
