"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy"
"1",1,30,6,1,1,417287,422883,5596,1,1,1
"2",1,31,1,2,1,450473,452770,2297,0,0,1
"3",1,8,2,3,1,461150,463348,2198,0,0,1
"4",1,26,2,4,1,469425,472135,2710,1,1,1
"5",1,2,2,5,1,483622,486448,2826,1,1,1
"6",1,46,4,6,1,503986,506647,2661,0,0,1
"7",1,21,3,7,1,517606,520228,2622,1,1,1
"8",1,16,4,8,1,545290,547720,2430,0,0,1
"9",1,4,4,9,1,567600,569407,1807,0,0,1
"10",1,22,4,10,1,575666,580194,4528,1,1,1
"11",1,32,2,11,1,594561,596881,2320,1,1,1
"12",1,42,6,12,1,611554,613842,2288,1,1,1
"13",1,5,5,13,1,621011,624947,3936,0,0,1
"14",1,40,4,14,1,646019,648792,2773,0,0,1
"15",1,27,3,15,1,707060,709273,2213,0,0,1
"16",1,3,3,16,1,722682,725110,2428,1,1,1
"17",1,6,6,17,1,735833,737981,2148,0,0,1
"18",1,19,1,18,1,745498,749702,4204,1,1,1
"19",1,38,2,19,1,778547,782454,3907,0,0,1
"20",1,52,4,20,1,800851,804430,3579,1,1,1
"21",1,13,1,21,1,838066,843406,5340,1,1,1
"22",1,28,4,22,1,862996,864983,1987,0,0,1
"23",1,43,1,23,1,877821,879958,2137,0,0,1
"24",1,15,3,24,1,886328,888718,2390,1,1,1
"25",1,18,6,25,1,899707,902098,2391,0,0,1
"26",1,1,1,26,1,912930,914927,1997,0,0,1
"27",1,20,2,27,1,921920,924366,2446,1,1,1
"28",1,7,1,28,1,937115,940100,2985,1,1,1
"29",1,50,2,29,1,1049000,1051001,2001,1,1,1
"30",1,51,3,30,1,1065181,1067545,2364,0,0,1
"31",1,36,6,31,1,1073065,1075755,2690,1,1,1
"32",1,49,1,32,1,1096271,1098148,1877,0,0,1
"33",1,12,6,33,1,1116577,1120451,3874,0,0,1
"34",1,11,5,34,1,1127009,1128987,1978,0,0,1
"35",1,53,5,35,1,1155278,1156969,1691,0,0,1
"36",1,54,6,36,1,1167936,1171101,3165,1,1,1
"37",1,37,1,37,1,1201204,1205208,4004,1,1,1
"38",1,25,1,38,1,1216508,1219092,2584,0,0,1
"39",1,44,2,39,1,1268850,1271005,2155,1,1,1
"40",1,35,5,40,1,1293291,1296730,3439,0,0,1
"41",1,33,3,41,1,1308288,1311097,2809,0,0,1
"42",1,41,5,42,1,1346707,1349100,2393,0,0,1
"43",1,34,4,43,1,1391373,1393678,2305,1,1,1
"44",1,39,3,44,1,1407212,1410784,3572,1,1,1
"45",1,48,6,45,1,1416398,1419144,2746,0,0,1
"46",1,45,3,46,1,1436508,1439956,3448,1,1,1
"47",1,17,5,47,1,1445977,1448167,2190,1,1,1
"48",1,29,5,48,1,1504315,1507217,2902,1,1,1
"49",1,14,2,49,1,1549838,1552467,2629,1,1,1
"50",1,9,3,50,1,1558626,1561455,2829,1,1,1
"51",1,47,5,51,1,1615348,1617817,2469,1,1,1
"52",1,23,5,52,1,1632229,1634152,1923,0,0,1
"53",1,10,4,53,1,1651727,1653841,2114,0,0,1
"54",1,24,6,54,1,1660835,1663397,2562,0,0,1
