"","Estimate","Std. Error","t value"
"(Intercept)",5.45,0.02,308.21
"prev.PB",-0.01,0.01,-0.88
"prev.Orth_PB",0,0.01,0.07
"deg1",-0.01,0.01,-1.34
"prev.PB:deg1",0,0.01,0.25
"prev.Orth_PB:deg1",0.01,0.01,1.04
