"","Estimate","Std. Error","t value"
"(Intercept)",5.39,0.02,346.83
"prev.PB",0,0.01,-0.15
"prev.Orth_PB",0,0.01,0.29
"deg1",-0.01,0,-1.29
"prev.PB:deg1",0.01,0.01,0.67
"prev.Orth_PB:deg1",0.01,0.01,1.09
