"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy"
"94",2,1,2,40,1,4409281,4411791,2510,0,0,1
"95",2,48,1,41,1,4440856,4443758,2902,0,0,1
"96",2,23,6,42,1,4451521,4454367,2846,0,0,1
"97",2,16,5,43,1,4460878,4463704,2826,0,0,1
"98",2,5,6,44,1,4470970,4473935,2965,0,0,1
"99",2,41,6,45,1,4504939,4507954,3015,0,0,1
"100",2,24,1,46,1,4515030,4518144,3114,0,0,1
"101",2,2,3,47,1,4544248,4547733,3485,1,1,1
"102",2,51,4,48,1,4554665,4557217,2552,0,0,1
"103",2,28,5,49,1,4598015,4601761,3746,0,0,1
"104",2,47,6,50,1,4658354,4662079,3725,1,1,1
"105",2,49,2,51,1,4668035,4669848,1813,0,0,1
"106",2,45,4,52,1,4676173,4679384,3211,1,1,1
"107",2,43,2,53,1,4692070,4697246,5176,0,0,1
"108",2,7,2,54,1,4716780,4719956,3176,1,1,1
"109",3,20,4,1,1,8037249,8039541,2292,1,1,1
"110",3,17,1,2,1,8057318,8059310,1992,1,1,1
"111",3,51,5,3,1,8079247,8080926,1679,0,0,1
"112",3,53,1,4,1,8091695,8093436,1741,0,0,1
"113",3,16,6,5,1,8109177,8111670,2493,0,0,1
"114",3,8,4,6,1,8130066,8131906,1840,0,0,1
"115",3,6,2,7,1,8159160,8161175,2015,0,0,1
"116",3,31,3,8,1,8173526,8176404,2878,0,0,1
"117",3,44,4,9,1,8195486,8197576,2090,1,1,1
"118",3,10,6,10,1,8204385,8206992,2607,0,0,1
"119",3,1,3,11,1,8220696,8222833,2137,0,0,1
"120",3,45,5,12,1,8229194,8231438,2244,1,1,1
"121",3,3,5,13,1,8244323,8246105,1782,1,1,1
"122",3,25,3,14,1,8260758,8262398,1640,0,0,1
"123",3,24,2,15,1,8293460,8295999,2539,0,0,1
"124",3,12,2,16,1,8319693,8321825,2132,0,0,1
"125",3,46,6,17,1,8329284,8332546,3262,0,0,1
"126",3,29,1,18,1,8352065,8354404,2339,1,1,1
"127",3,42,2,19,1,8373240,8376284,3044,1,1,1
"128",3,21,5,20,1,8386674,8389120,2446,1,1,1
"129",3,4,6,21,1,8394757,8396409,1652,0,0,1
"130",3,23,1,22,1,8401088,8402828,1740,0,0,1
"131",3,9,5,23,1,8419441,8421407,1966,1,1,1
"132",3,47,1,24,1,8433559,8435321,1762,1,1,1
"133",3,11,1,25,1,8450067,8453821,3754,0,1,0
"134",3,2,4,26,1,8504547,8506715,2168,1,1,1
"135",3,52,6,27,1,8520303,8522389,2086,1,1,1
"136",3,41,1,28,1,8541479,8543061,1582,0,0,1
"137",3,26,4,29,1,8549330,8553238,3908,1,1,1
"138",3,7,3,30,1,8562157,8566733,4576,1,1,1
"139",3,39,5,31,1,8573569,8576091,2522,1,1,1
"140",3,19,3,32,1,8588102,8590365,2263,1,1,1
"141",3,43,3,33,1,8599842,8602140,2298,0,0,1
"142",3,5,1,34,1,8609594,8611929,2335,0,0,1
"143",3,28,6,35,1,8634958,8637301,2343,0,0,1
"144",3,48,2,36,1,8642090,8644497,2407,0,0,1
"145",3,22,6,37,1,8651120,8653048,1928,1,1,1
"146",3,33,5,38,1,8672081,8674380,2299,0,0,1
"147",3,54,2,39,1,8685673,8688601,2928,1,1,1
"148",3,13,3,40,1,8696852,8698684,1832,1,1,1
"149",3,32,4,41,1,8716416,8718352,1936,1,1,1
"150",3,14,4,42,1,8725332,8727160,1828,1,1,1
"151",3,18,2,43,1,8775675,8777917,2242,0,1,0
"152",3,38,4,44,1,8813018,8815189,2171,0,0,1
"153",3,34,6,45,1,8850212,8852848,2636,1,1,1
"154",3,49,3,46,1,8860518,8862110,1592,0,0,1
"155",3,50,4,47,1,8919304,8921162,1858,1,1,1
"156",3,30,2,48,1,8939840,8941655,1815,1,1,1
"157",3,37,3,49,1,8948958,8950924,1966,1,1,1
"158",3,36,2,50,1,8957306,8959556,2250,1,1,1
"159",3,35,1,51,1,8965770,8968345,2575,0,0,1
"160",3,40,6,52,1,8984942,8987486,2544,0,0,1
"161",3,27,5,53,1,9000890,9003012,2122,0,0,1
"162",3,15,5,54,1,9037309,9039352,2043,1,1,1
