"","sub","cond","item","seq","start_time","end_time","duration_ms"
"10",1,2,128,1,558738,569913,11175
"11",1,2,80,2,573159,581249,8090
"12",1,3,45,3,585081,591698,6617
"14",1,4,52,4,597543,602548,5005
"16",1,4,16,5,608972,612111,3139
"18",1,1,85,6,618695,625519,6824
"19",1,2,62,7,628831,632577,3746
"20",1,1,7,8,636455,650823,14368
"22",1,3,15,9,658207,660659,2452
"24",1,3,3,10,666744,672349,5605
"26",1,2,98,11,680119,686683,6564
"27",1,5,101,12,690588,697832,7244
"28",1,2,26,13,701658,708222,6564
"30",1,6,54,14,714786,719105,4319
"32",1,5,107,15,726489,731646,5157
"33",1,5,47,16,735325,738597,3272
"35",1,2,2,17,744362,748461,4099
"37",1,5,59,18,754525,759090,4565
"38",1,2,44,19,762802,766354,3552
"40",1,3,105,20,772245,775810,3565
"41",1,4,58,21,778856,785247,6391
"42",1,6,102,22,788132,792884,4752
"43",1,6,126,23,796236,800687,4451
"44",1,5,23,24,803813,809364,5551
"46",1,1,25,25,815482,818081,2599
"48",1,1,49,26,824919,829730,4811
"50",1,5,131,27,835815,842945,7130
"51",1,5,53,28,846004,849316,3312
"53",1,5,95,29,855274,860065,4791
"54",1,3,69,30,863571,871148,7577
"55",1,5,11,31,874161,886076,11915
"57",1,3,123,32,891840,901803,9963
"58",1,3,117,33,905002,907754,2752
"59",1,2,32,34,911013,916431,5418
"61",1,2,104,35,922343,927880,5537
"62",1,6,66,36,930919,935231,4312
"63",1,6,60,37,938783,944101,5318
"64",1,3,135,38,947473,955530,8057
"65",1,6,42,39,958662,966819,8157
"67",1,6,138,40,974063,980687,6624
"68",1,2,134,41,983666,987705,4039
"69",1,3,129,42,990824,998374,7550
"70",1,5,83,43,1002360,1014142,11782
"71",1,2,110,44,1017594,1022825,5231
"72",1,4,40,45,1026317,1037146,10829
"74",1,5,71,46,1044524,1048136,3612
"75",1,4,76,47,1051428,1054114,2686
"76",1,2,122,48,1057226,1059845,2619
"77",1,4,118,49,1062917,1066909,3992
"78",1,4,100,50,1069754,1072587,2833
"79",1,1,37,51,1075633,1081590,5957
"81",1,5,17,52,1087555,1093306,5751
"83",1,1,61,53,1099649,1104747,5098
"84",1,4,4,54,1107959,1110932,2973
"86",1,4,64,55,1116496,1119608,3112
"87",1,4,22,56,1122327,1127232,4905
"89",1,4,88,57,1133497,1143466,9969
"90",1,5,125,58,1148030,1151775,3745
"91",1,5,89,59,1154634,1160299,5665
"92",1,6,36,60,1163225,1166823,3598
"94",1,3,33,61,1174187,1178092,3905
"96",1,1,19,62,1184603,1188368,3765
"98",1,5,65,63,1194513,1198397,3884
"99",1,2,92,64,1203423,1206754,3331
"100",1,5,41,65,1209933,1214631,4698
"102",1,1,121,66,1286758,1293282,6524
"103",1,4,28,67,1296308,1300013,3705
"105",1,4,70,68,1305778,1310523,4745
"106",1,1,109,69,1313635,1318166,4531
"107",1,3,39,70,1320946,1331621,10675
"109",1,2,14,71,1337679,1341904,4225
"111",1,4,112,72,1349682,1352394,2712
"112",1,3,87,73,1356699,1365096,8397
"113",1,6,48,74,1368015,1378091,10076
"115",1,1,13,75,1390326,1400049,9723
"117",1,5,119,76,1405367,1409659,4292
"118",1,4,136,77,1412804,1417323,4519
"119",1,1,67,78,1420388,1423221,2833
"120",1,1,133,79,1426706,1428878,2172
"121",1,3,93,80,1433004,1436529,3525
"122",1,3,51,81,1439948,1442694,2746
"124",1,5,113,82,1448565,1455189,6624
"125",1,6,114,83,1458215,1464325,6110
"126",1,2,20,84,1467544,1470750,3206
"128",1,4,82,85,1477140,1481438,4298
"129",1,5,35,86,1485250,1489069,3819
"131",1,1,55,87,1495466,1498652,3186
"132",1,2,38,88,1501791,1507115,5324
"134",1,5,137,89,1512620,1516792,4172
"135",1,1,43,90,1519731,1526261,6530
"137",1,4,124,91,1532146,1537371,5225
"138",1,2,68,92,1540696,1546787,6091
"139",1,1,73,93,1549827,1554024,4197
"140",1,6,90,94,1557177,1564607,7430
"141",1,3,9,95,1567886,1571312,3426
"143",1,2,56,96,1577676,1584906,7230
"144",1,4,34,97,1587985,1591291,3306
"146",1,3,75,98,1597368,1602367,4999
"147",1,1,115,99,1605679,1608791,3112
"148",1,4,94,100,1613096,1616994,3898
"149",1,5,5,101,1620214,1626084,5870
"151",1,3,57,102,1632989,1636894,3905
"152",1,6,120,103,1640346,1643451,3105
"153",1,6,24,104,1646831,1650849,4018
"155",1,5,29,105,1657247,1662824,5577
"157",1,3,27,106,1669369,1672007,2638
"159",1,6,78,107,1677099,1679005,1906
"160",1,6,30,108,1681877,1683970,2093
"162",1,1,79,109,1689821,1692633,2812
"163",1,3,21,110,1695506,1698851,3345
"165",1,6,18,111,1704556,1708314,3758
"167",1,6,108,112,1713805,1724735,10930
"168",1,2,74,113,1728080,1734098,6018
"169",1,4,46,114,1737230,1739782,2552
"171",1,6,132,115,1745420,1748433,3013
"172",1,1,97,116,1754997,1757742,2745
"173",1,1,103,117,1781967,1787098,5131
"174",1,4,130,118,1790957,1794596,3639
"175",1,3,99,119,1798654,1803972,5318
"176",1,1,31,120,1807291,1813209,5918
"178",1,6,6,121,1820526,1823672,3146
"180",1,2,116,122,1829363,1832501,3138
"181",1,2,50,123,1835420,1838533,3113
"183",1,6,72,124,1843911,1847409,3498
"184",1,5,77,125,1851255,1854833,3578
"185",1,6,84,126,1858299,1863277,4978
"186",1,4,10,127,1866736,1869955,3219
"188",1,3,111,128,1876159,1882770,6611
"189",1,1,127,129,1886715,1889681,2966
"190",1,4,106,130,1892506,1895312,2806
"191",1,3,81,131,1898091,1899997,1906
"192",1,3,63,132,1903129,1904928,1799
"193",1,2,8,133,1907954,1909753,1799
"195",1,1,1,134,1916164,1918136,1972
"197",1,6,12,135,1924141,1927447,3306
"199",1,6,96,136,1933564,1937143,3579
"200",1,1,91,137,1939969,1942094,2125
"201",1,2,86,138,1944920,1946406,1486
"101",2,4,57,1,3494235,3497787,3552
"1110",2,5,136,2,3501386,3504812,3426
"123",2,3,20,3,3507831,3512815,4984
"1410",2,3,38,4,3519846,3524637,4791
"164",2,1,6,5,3530209,3534840,4631
"1810",2,6,17,6,3541325,3547049,5724
"202",2,5,70,7,3552687,3556866,4179
"21",2,2,55,8,3559984,3563290,3306
"221",2,3,86,9,3566489,3570534,4045
"23",2,3,122,10,3574419,3577425,3006
"241",2,4,39,11,3580883,3584509,3626
"261",2,6,101,12,3591539,3595678,4139
"271",2,2,115,13,3598857,3603009,4152
"281",2,5,130,14,3606301,3610359,4058
"29",2,4,33,15,3613565,3618150,4585
"31",2,5,124,16,3626520,3631678,5158
"321",2,5,64,17,3634983,3638242,3259
"331",2,3,50,18,3641255,3644194,2939
"351",2,6,35,19,3650165,3654030,3865
"371",2,2,37,20,3661514,3665832,4318
"39",2,5,58,21,3675442,3681093,5651
"401",2,2,25,22,3684745,3688144,3399
"421",2,3,26,23,3695881,3698673,2792
"441",2,4,27,24,3705371,3709982,4611
"461",2,4,75,25,3717093,3720865,3772
"47",2,3,80,26,3724277,3729235,4958
"481",2,1,72,27,3732174,3733994,1820
"49",2,4,21,28,3737306,3739625,2319
