"","sub","item","cond","seq","word","word_line","wordID","line","FFD","SFD","GD","TVT","nfix1","nfix2","nfixAll","regress","deg","prev","N1","N"
"3304",3,108,2,116,6,6,"rake",1,449,449,449,449,1,0,1,0,"0","orth",1,0
"3313",3,109,3,102,6,6,"reap",1,365,365,365,365,1,0,1,0,"0","mask",1,0
"3324",3,110,4,4,7,7,"plum",1,217,217,217,217,1,0,1,0,"20","valid",1,0
"3333",3,111,5,64,6,6,"noon",1,330,330,330,330,1,0,1,0,"20","orth",1,0
"3343",3,112,6,130,4,4,"musk",1,348,348,348,348,1,0,1,0,"20","mask",1,0
"3358",3,114,2,22,5,5,"brawl",1,313,313,313,471,1,1,2,1,"0","orth",1,0
"3371",3,115,3,119,8,8,"chalk",1,264,264,264,264,1,0,1,0,"0","mask",1,0
"3381",3,116,4,1,7,7,"claim",1,249,249,249,435,1,1,2,1,"20","valid",1,0
"3388",3,117,5,91,6,6,"faint",1,203,203,203,203,1,0,1,0,"20","orth",1,0
"3396",3,118,6,120,6,6,"flake",1,337,337,337,1215,1,1,2,1,"20","mask",1,0
"3406",3,119,1,37,9,9,"flood",1,87,87,87,240,1,1,2,1,"0","valid",1,0
"3417",3,120,2,100,7,7,"frame",1,207,207,207,513,1,2,3,1,"0","orth",1,0
"3426",3,121,3,70,8,8,"glade",1,116,116,116,529,1,2,3,1,"0","mask",1,0
"3431",3,122,4,86,6,6,"truth",1,148,148,148,148,1,0,1,0,"20","valid",1,0
"3438",3,123,5,99,6,6,"trunk",1,146,146,146,324,1,1,2,1,"20","orth",1,0
"3449",3,124,6,103,8,8,"sweet",1,247,247,247,247,1,0,1,0,"20","mask",1,0
"3454",3,125,1,79,4,4,"slate",1,163,163,163,350,1,1,2,1,"0","valid",1,0
"3472",3,127,3,40,9,9,"speed",1,202,202,202,380,1,1,2,1,"0","mask",1,0
"3477",3,128,4,92,4,4,"pulse",1,236,236,236,428,1,1,2,1,"20","valid",1,0
"3488",3,129,5,67,5,5,"prone",1,257,257,257,522,1,2,3,1,"20","orth",1,0
"3500",3,130,6,132,12,12,"marsh",1,235,235,235,235,1,0,1,0,"20","mask",1,0
"3507",3,131,1,15,9,9,"shelf",1,189,189,189,189,1,0,1,0,"0","valid",1,0
"3517",3,132,2,137,7,7,"plate",1,397,397,397,397,1,0,1,0,"0","orth",1,0
"3525",3,133,3,12,8,8,"drive",1,236,236,236,236,1,0,1,0,"0","mask",1,0
"3533",3,134,4,98,6,6,"flinch",1,206,206,206,401,1,1,2,1,"20","valid",1,0
"3543",3,135,5,95,6,6,"clench",1,369,NA,567,765,2,1,3,1,"20","orth",1,0
"3556",3,136,6,97,7,7,"client",1,223,223,223,223,1,0,1,0,"20","mask",1,0
"3564",3,137,1,58,5,5,"slouch",1,172,172,172,332,1,1,2,1,"0","valid",1,0
"3575",3,138,2,6,9,9,"groove",1,236,236,236,236,1,0,1,0,"0","orth",1,0
