"","sub","item","cond","nstarted","ncompleted","nboundary","problem","flags_equal"
"126",2,64,1,13,13,13,"no","yes"
"127",2,70,7,16,16,16,"no","yes"
"128",2,52,5,15,15,15,"no","yes"
"129",2,55,8,15,15,15,"no","yes"
"130",2,1,2,14,14,14,"no","yes"
"131",2,17,2,16,16,16,"no","yes"
"132",2,35,4,16,16,16,"no","yes"
"133",2,50,3,10,10,10,"no","yes"
"134",2,77,6,17,17,17,"no","yes"
"135",2,43,4,15,15,15,"no","yes"
"136",2,67,4,14,14,15,"no","yes"
"137",2,4,5,16,16,16,"no","yes"
"138",2,20,5,14,14,14,"no","yes"
"139",2,9,2,17,17,17,"no","yes"
"140",2,54,7,13,13,13,"no","yes"
"141",2,68,5,13,13,13,"no","yes"
"142",2,49,2,12,12,12,"no","yes"
"143",2,58,3,15,15,15,"no","yes"
"144",2,73,2,16,16,16,"no","yes"
"145",2,42,3,14,14,15,"no","yes"
"146",2,59,4,15,15,15,"no","yes"
"147",2,31,8,15,15,15,"no","yes"
"148",2,66,3,16,16,16,"no","yes"
"149",2,63,8,14,14,14,"no","yes"
"150",2,65,2,15,15,16,"no","yes"
"151",2,27,4,14,14,14,"no","yes"
"152",2,69,6,14,14,14,"no","yes"
"153",2,16,1,17,17,17,"no","yes"
"154",2,38,7,16,16,16,"no","yes"
"155",2,47,8,13,13,13,"no","yes"
"156",2,5,6,16,16,16,"no","yes"
"157",2,51,4,12,12,13,"no","yes"
"158",2,28,5,13,13,13,"no","yes"
"159",2,18,3,11,11,11,"no","yes"
"160",2,56,1,10,10,10,"no","yes"
"161",3,63,1,14,14,14,"no","yes"
"162",3,79,1,12,12,13,"no","yes"
"163",3,41,3,14,14,14,"no","yes"
"164",3,11,5,2,2,14,"no","yes"
"165",3,46,8,16,16,16,"no","yes"
"166",3,45,7,13,13,13,"no","yes"
"167",3,33,3,12,12,12,"no","yes"
"168",3,52,6,15,15,15,"no","yes"
"169",3,29,7,13,13,13,"no","yes"
