seq,subj,item,cond,R1,R2,R3,R4
30,1,1,1,441,192,336,145
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,1,0,,,,
0,1,2,0,,,,
47,1,2,2,159,156,123,189
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,2,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
54,1,3,3,155,160,226,161
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,3,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
51,1,4,4,131,213,259,175
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,4,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
67,1,5,5,145,328,226,149
0,1,5,0,,,,
0,1,5,0,,,,
0,1,5,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
0,1,6,0,,,,
40,1,6,6,139,205,259,175
0,1,6,0,,,,
0,1,6,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
0,1,7,0,,,,
32,1,7,7,142,189,229,373
0,1,7,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
0,1,8,0,,,,
53,1,8,8,168,182,197,269
56,1,9,1,162,202,219,177
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,9,0,,,,
0,1,10,0,,,,
42,1,10,2,168,112,202,145
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,10,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,11,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
21,1,12,4,139,173,166,119
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,12,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
61,1,13,5,250,180,211,150
0,1,13,0,,,,
0,1,13,0,,,,
0,1,13,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,0,,,,
0,1,14,6,202,194,273,289
0,1,14,0,,,,
0,1,14,0,,,,
0,1,15,0,,,,
