"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.96,0.14,-13.75,0
"prev.PB",0.7,0.14,4.94,0
"prev.Orth_PB",0.52,0.14,3.83,0
"prev.Phon_PB",0.04,0.15,0.27,0.79
"deg1",-0.21,0.05,-4.22,0
"prev.PB:deg1",0.32,0.14,2.27,0.02
"prev.Orth_PB:deg1",0.13,0.14,0.99,0.32
"prev.Phon_PB:deg1",-0.12,0.15,-0.81,0.42
