"","Estimate","Std. Error","t value"
"(Intercept)",5.48,0.02,319.54
"prev.PB",0.07,0.01,4.81
"prev.Orth_PB",0.03,0.01,2.11
"prev.Phon_PB",0.01,0.01,0.39
"deg1",-0.03,0.01,-4.43
"prev.PB:deg1",0,0.01,0.3
"prev.Orth_PB:deg1",-0.01,0.01,-0.67
"prev.Phon_PB:deg1",0.02,0.01,1.49
