"","Estimate","Std. Error","t value"
"(Intercept)",5.37,0.02,305.63
"prev.PB",0.01,0.01,0.44
"prev.Orth_PB",0,0.01,-0.1
"prev.Phon_PB",0,0.01,-0.08
"deg1",0,0,-0.21
"prev.PB:deg1",-0.02,0.01,-1.68
"prev.Orth_PB:deg1",-0.02,0.01,-1.19
"prev.Phon_PB:deg1",0.01,0.01,0.64
