"","Estimate","Std. Error","z value","Pr(>|z|)"
"Intercept",-2.72,0.17,-15.72,0
"Invalid PV",-0.16,0.16,-0.98,0.33
"Orth PV",-0.15,0.16,-0.91,0.36
"Phon PV",0.01,0.16,0.09,0.93
"Deg",0.32,0.08,3.8,0
"Invalid PV:Deg",-0.29,0.16,-1.82,0.07
"Orth PV:Deg",-0.12,0.16,-0.75,0.45
"Phon PV:Deg",-0.15,0.16,-0.96,0.34
