"","Estimate","Std. Error","t value"
"(Intercept)",5.58,0.02,279.08
"prev.PB",0.11,0.02,6.59
"prev.Orth_PB",0.05,0.02,2.99
"prev.Phon_PB",0.01,0.02,0.46
"deg1",-0.03,0.01,-3.85
"prev.PB:deg1",0.04,0.02,2.32
"prev.Orth_PB:deg1",0.01,0.02,0.76
"prev.Phon_PB:deg1",0.02,0.02,1.19
