"","sub","item","seq","cond","nfix","deg"
"1",1,1,37,1,14,"20"
"2",1,2,55,2,14,"0"
"3",1,3,62,3,20,"20"
"4",1,4,59,4,15,"0"
"5",1,5,77,5,17,"20"
"6",1,6,47,6,20,"0"
"7",1,7,39,7,18,"20"
"8",1,8,61,8,11,"0"
"9",1,9,65,1,14,"20"
"10",1,10,49,2,18,"0"
"11",1,11,11,3,11,"20"
"12",1,12,26,4,16,"0"
"13",1,13,70,5,17,"20"
"14",1,14,1,6,14,"0"
"15",1,15,18,7,13,"20"
"16",1,16,17,8,23,"0"
"17",1,17,73,1,18,"20"
"18",1,18,32,2,12,"0"
"19",1,19,54,3,14,"20"
"20",1,20,25,4,14,"0"
"21",1,21,40,5,18,"20"
"22",1,22,5,6,14,"0"
"23",1,23,43,7,15,"20"
"24",1,24,19,8,16,"0"
"25",1,25,72,1,14,"20"
"26",1,26,3,2,15,"0"
"27",1,27,10,3,19,"20"
"28",1,28,74,4,14,"0"
"29",1,29,8,5,14,"20"
"30",1,30,30,6,16,"0"
"31",1,31,2,7,15,"20"
"32",1,32,41,8,17,"0"
"33",1,33,22,1,11,"20"
"34",1,34,68,2,17,"0"
"35",1,35,56,3,18,"20"
"36",1,36,50,4,18,"0"
"37",1,37,9,5,14,"20"
"38",1,38,63,6,15,"0"
"39",1,39,67,7,15,"20"
"40",1,40,12,8,18,"0"
"41",1,41,44,1,12,"20"
"42",1,42,28,2,13,"0"
"43",1,43,69,3,14,"20"
"44",1,44,27,4,13,"0"
"45",1,45,4,5,13,"20"
"46",1,46,64,6,13,"0"
"47",1,47,13,7,12,"20"
"48",1,48,75,8,18,"0"
"49",1,49,45,1,12,"20"
"50",1,50,36,2,14,"0"
"51",1,51,66,3,16,"20"
"52",1,52,51,4,15,"0"
"53",1,53,35,5,17,"20"
"54",1,54,14,6,15,"0"
"55",1,55,46,7,18,"20"
"56",1,56,23,8,13,"0"
"57",1,57,33,1,13,"20"
"58",1,58,78,2,18,"0"
"59",1,59,20,3,17,"20"
"60",1,60,7,4,11,"0"
"61",1,61,16,5,19,"20"
"62",1,62,53,6,18,"0"
"63",1,63,76,7,17,"20"
"64",1,64,29,8,20,"0"
"65",1,65,21,1,25,"20"
"66",1,66,6,2,21,"0"
"67",1,67,58,3,15,"20"
"68",1,68,80,4,14,"0"
"69",1,69,52,5,16,"20"
"70",1,70,31,6,16,"0"
"71",1,71,48,7,16,"20"
"72",1,72,79,8,14,"0"
"73",1,73,38,1,18,"20"
"74",1,74,57,2,14,"0"
"75",1,75,42,3,20,"20"
"76",1,76,71,4,13,"0"
"77",1,77,34,5,15,"20"
"78",1,78,60,6,16,"0"
"79",1,79,15,7,14,"20"
"80",1,80,24,8,13,"0"
"81",2,1,73,2,15,"0"
"82",2,2,10,3,15,"20"
"83",2,3,49,4,13,"0"
"84",2,4,14,5,13,"20"
"85",2,5,61,6,15,"0"
"86",2,6,28,7,14,"20"
"87",2,7,31,8,10,"0"
"88",2,8,15,1,15,"20"
"89",2,9,69,2,16,"0"
"90",2,10,59,3,16,"20"
"91",2,11,13,4,13,"0"
"92",2,12,46,5,12,"20"
"93",2,13,20,6,18,"0"
"94",2,14,3,7,14,"20"
"95",2,15,7,8,15,"0"
"96",2,16,16,1,17,"20"
"97",2,17,9,2,12,"0"
"98",2,18,2,3,9,"20"
"99",2,19,34,4,14,"0"
"100",2,20,30,5,10,"20"
"101",2,21,38,6,11,"0"
"102",2,22,77,7,12,"20"
"103",2,23,22,8,11,"0"
"104",2,24,12,1,13,"20"
"105",2,25,25,2,12,"0"
"106",2,26,52,3,18,"20"
"107",2,27,70,4,13,"0"
"108",2,28,76,5,10,"20"
"109",2,29,79,6,13,"0"
"110",2,30,66,7,10,"20"
"111",2,31,24,8,12,"0"
"112",2,32,43,1,13,"20"
"113",2,33,55,2,9,"0"
"114",2,34,51,3,20,"20"
"115",2,35,8,4,16,"0"
"116",2,36,19,5,14,"20"
"117",2,37,42,6,11,"0"
"118",2,38,6,7,14,"20"
"119",2,39,75,8,11,"0"
"120",2,40,65,1,11,"20"
"121",2,41,33,2,13,"0"
"122",2,42,47,3,14,"20"
"123",2,43,63,4,11,"0"
