"","sub","item","cond","seq","Bnd_loc","tCross","tStarted","tCompleted","tChange","tActualChange","nextFlag","tNextFlag","tChangetoFixOnset"
"1",1,28,5,1,271,935602,935605,935613,8,11,"EFIX",935602,588
"2",1,88,5,2,667,947504,947507,947515,8,11,"EFIX",947505,613
"3",1,39,4,3,436,954381,954384,954386,2,5,"SFIX",954385,1
"4",1,84,1,4,425,963306,963309,963316,7,10,"SFIX",963318,-2
"5",1,2,3,5,359,974729,974739,974745,6,16,"EFIX",974732,423
"6",1,118,5,6,315,985967,985970,985974,4,7,"EFIX",985770,381
"7",1,72,1,7,337,995567,995570,995577,7,10,"SFIX",995578,-1
"8",1,46,5,8,271,1002093,1002096,1002101,5,8,"SFIX",1002100,1
"9",1,41,6,9,348,1013364,1013366,1013371,5,7,"SFIX",1013369,2
"10",1,6,1,10,502,1025030,1025033,1025046,13,16,"SFIX",1025046,0
"11",1,125,6,11,260,1034693,1034696,1034703,7,10,"SFIX",1034702,1
"12",1,19,2,12,359,1041368,1041371,1041373,2,5,"SFIX",1041372,1
"13",1,23,6,13,370,1053422,1053425,1053429,4,7,"EFIX",1053424,560
"14",1,7,2,14,513,1063851,1063854,1063859,5,8,"SFIX",1063863,-4
"15",1,61,2,15,513,1076365,1076368,1076374,6,9,"SFIX",1076385,-11
"16",1,5,6,16,480,1081968,1081970,1081972,2,4,"SFIX",1081977,-5
"17",1,79,2,17,579,1091987,1091990,1091995,5,8,"EFIX",1091989,417
"18",1,66,1,18,524,1097594,1097597,1097599,2,5,"SFIX",1097600,-1
"19",1,122,3,19,403,1102694,1102697,1102704,7,10,"EFIX",1102695,432
"20",1,55,2,20,579,1108014,1108017,1108022,5,8,"SFIX",1108020,2
"21",1,96,1,21,359,1113531,1113534,1113540,6,9,"SFIX",1113534,6
"22",1,40,5,22,513,1120686,1120689,1120691,2,5,"SFIX",1120701,-10
"23",1,105,4,23,315,1129215,1129218,1129221,3,6,"SFIX",1129226,-5
"24",1,91,2,24,216,1135544,1135547,1135552,5,8,"SFIX",1135556,-4
"25",1,68,3,25,634,1142725,1142728,1142729,1,4,"SFIX",1142738,-9
"26",1,137,6,26,249,1149338,1149341,1149347,6,9,"SFIX",1149354,-7
"27",1,54,1,27,535,1157041,1157044,1157051,7,10,"SFIX",1157053,-2
"28",1,59,6,28,249,1166607,1166614,1166620,6,13,"SFIX",1166616,4
"29",1,109,2,29,381,1173044,1173047,1173051,4,7,"SFIX",1173056,-5
"30",1,58,5,30,403,1180458,1180461,1180469,8,11,"SFIX",1180470,-1
"31",1,3,4,31,260,1186152,1186155,1186160,5,8,"SFIX",1186163,-3
"32",1,98,3,32,579,1196428,1196431,1196436,5,8,"SFIX",1196440,-4
"33",1,57,4,33,381,1204594,1204597,1204600,3,6,"SFIX",1204600,0
"34",1,83,6,34,491,1212358,1212361,1212364,3,6,"EFIX",1212357,994
"35",1,124,5,35,513,1219613,1219616,1219621,5,8,"SFIX",1219619,2
"36",1,14,3,36,480,1226977,1226980,1226985,5,8,"SFIX",1226985,0
"37",1,42,1,37,480,1238947,1238954,1238960,6,13,"EFIX",1238952,519
"38",1,85,2,38,436,1248425,1248428,1248430,2,5,"SFIX",1248438,-8
"39",1,16,5,39,502,1255177,1255180,1255188,8,11,"SFIX",1255190,-2
"40",1,123,4,40,370,1264630,1264633,1264638,5,8,"SFIX",1264646,-8
"41",1,104,3,41,601,1271241,1271244,1271248,4,7,"SFIX",1271249,-1
"42",1,75,4,42,249,1276241,1276244,1276247,3,6,"EFIX",1276241,459
"43",1,49,2,43,513,1285837,1285839,1285843,4,6,"SFIX",1285844,-1
