"","Estimate","Std. Error","t value"
"(Intercept)",5.46,0.02,341.57
"prev.PB",0.09,0.01,6.22
"prev.Orth_PB",0.05,0.02,3.54
"prev.Phon_PB",0,0.01,-0.14
"deg1",0,0.01,-0.54
"prev.PB:deg1",0.05,0.01,3.43
"prev.Orth_PB:deg1",0.03,0.02,1.96
"prev.Phon_PB:deg1",0,0.01,-0.1
