"","prev","deg","FFD_N_M","FFD_N_SD","FFD_N1_M","FFD_N1_SD","SFD_N_M","SFD_N_SD","SFD_N1_M","SFD_N1_SD","GD_N_M","GD_N_SD","GD_N1_M","GD_N1_SD","TVT_N_M","TVT_N_SD","TVT_N1_M","TVT_N1_SD"
"1","invalid","0",217,66.8085851824835,247,79.9561693219232,218,64.5778589537198,263,80.4155802704876,247,112.899048451642,287,104.982853854304,372,247.73002636617,391,229.10895451376
"2","invalid","20",217,64.0395182599746,241,69.9366499772283,218,62.0090793116978,248,67.8194241613026,239,100.481766930751,278,99.8967263505316,379,257.543640833552,421,322.310418983007
"3","orth","0",214,64.0490491322403,235,79.6071284547567,212,62.5097288165499,245,79.3105306469524,248,120.719336598473,269,111.050738649087,337,228.656269611567,365,221.125439516314
"4","orth","20",221,71.7538684376002,243,81.4787467120857,221,71.8843717741407,247,82.037506400964,242,107.988646422864,262,96.9840907361178,351,234.113265012443,381,227.570257605081
"5","phon","0",221,73.5538214422968,240,85.2194444478534,222,75.6365256769227,245,89.1947488856225,247,104.126512935352,262,106.934291112552,352,231.159094298155,357,215.708017490591
"6","phon","20",221,66.7484875368147,243,79.9244957280132,223,67.6782113679528,246,78.4379874957912,245,94.818222809624,269,110.506066494828,355,279.555283863599,388,286.613861935573
"7","valid","0",217,72.4486988587646,226,80.863668707988,218,71.8360870917929,230,78.91535300351,241,103.157370748111,249,100.482467036311,329,211.941242472097,345,237.527067414139
"8","valid","20",212,57.8497856856847,237,76.7093172061701,214,58.1746232986275,242,78.720967539084,235,86.1700704587646,257,91.51948805927,324,202.805043098825,353,206.759765150051
