"","sub","item","seq","cond","nfix","deg"
"164",3,4,30,6,13,"0"
"165",3,5,59,7,10,"20"
"166",3,6,26,8,17,"0"
"167",3,7,54,1,15,"20"
"168",3,8,76,2,9,"0"
"169",3,9,67,3,15,"20"
"170",3,10,53,4,15,"0"
"171",3,11,4,5,15,"20"
"172",3,12,72,6,10,"0"
"173",3,13,62,7,11,"20"
"174",3,14,20,8,23,"0"
"175",3,15,68,1,9,"20"
"176",3,16,39,2,10,"0"
"177",3,17,80,3,11,"20"
"178",3,18,16,4,10,"0"
"179",3,19,60,5,11,"20"
"180",3,20,17,6,16,"0"
"181",3,21,50,7,13,"20"
"182",3,22,38,8,10,"0"
"183",3,23,77,1,10,"20"
"184",3,24,33,2,12,"0"
"185",3,25,56,3,12,"20"
"186",3,26,18,4,18,"0"
"187",3,27,35,5,15,"20"
"188",3,28,40,6,13,"0"
"189",3,29,9,7,17,"20"
"190",3,30,37,8,8,"0"
"191",3,31,23,1,17,"20"
"192",3,32,73,2,9,"0"
"193",3,33,7,3,14,"20"
"194",3,34,45,4,17,"0"
"195",3,35,58,5,11,"20"
"196",3,36,70,6,13,"0"
"197",3,37,21,7,13,"20"
"198",3,38,47,8,18,"0"
"199",3,39,24,1,12,"20"
"200",3,40,79,2,11,"0"
"201",3,41,3,3,15,"20"
"202",3,42,41,4,13,"0"
"203",3,43,48,5,14,"20"
"204",3,44,63,6,10,"0"
"205",3,45,6,7,20,"20"
"206",3,46,5,8,16,"0"
"207",3,47,28,1,13,"20"
"208",3,48,12,2,18,"0"
"209",3,49,34,3,11,"20"
"210",3,50,57,4,10,"0"
"211",3,51,11,5,23,"20"
"212",3,52,8,6,28,"0"
"213",3,53,42,7,14,"20"
"214",3,54,46,8,15,"0"
"215",3,55,36,1,14,"20"
"216",3,56,69,2,11,"0"
"217",3,57,13,3,18,"20"
"218",3,58,74,4,12,"0"
"219",3,59,44,5,11,"20"
"220",3,60,14,6,22,"0"
"221",3,61,55,7,16,"20"
"222",3,62,78,8,16,"0"
"223",3,63,1,1,25,"20"
"224",3,64,43,2,9,"0"
"225",3,65,61,3,18,"20"
"226",3,66,25,4,17,"0"
"227",3,67,15,5,40,"20"
"228",3,68,31,6,12,"0"
"229",3,69,66,7,17,"20"
"230",3,70,71,8,15,"0"
"231",3,71,22,1,12,"20"
"232",3,72,32,2,13,"0"
"233",3,73,29,3,15,"20"
"234",3,74,75,4,14,"0"
"235",3,75,27,5,14,"20"
"236",3,76,65,6,11,"0"
"237",3,77,64,7,11,"20"
"238",3,78,52,8,13,"0"
"239",3,79,2,1,24,"20"
"240",3,80,10,2,17,"0"
"241",4,1,37,4,9,"0"
"242",4,2,54,5,7,"20"
"243",4,3,58,6,9,"0"
"244",4,4,11,7,6,"20"
"245",4,5,48,8,11,"0"
"246",4,6,45,1,13,"20"
"247",4,7,29,2,6,"0"
"248",4,8,55,3,8,"20"
"249",4,9,80,4,13,"0"
"250",4,10,40,5,10,"20"
"251",4,11,22,6,7,"0"
"252",4,12,41,7,10,"20"
"253",4,13,30,8,6,"0"
"254",4,14,77,1,10,"20"
"255",4,15,69,2,5,"0"
