"","sub","item","cond","seq","line","dataFile","prev","deg","Nfix_1st","Nfix_2nd","Nfix_all"
"3",1,128,2,1,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",8,12,24
"37",1,80,2,2,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",5,5,13
"59",1,45,3,3,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",9,3,14
"82",1,52,4,4,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",7,4,13
"97",1,16,4,5,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",8,2,17
"118",1,85,1,6,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",7,7,17
"141",1,62,2,7,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",5,1,10
"157",1,7,1,8,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",9,18,29
"201",1,15,3,9,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",6,0,10
"212",1,3,3,10,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",5,5,13
"233",1,98,2,11,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",8,10,21
"258",1,101,5,12,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",8,8,18
"282",1,26,2,13,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",9,8,19
"306",1,54,6,14,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",8,2,13
"323",1,107,5,15,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",9,4,18
"343",1,47,5,16,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",7,3,14
"359",1,2,2,17,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",8,5,18
"379",1,59,5,18,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",6,2,15
"402",1,44,2,19,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",5,2,12
"417",1,105,3,20,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",5,1,10
"433",1,58,4,21,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",8,4,15
"454",1,102,6,22,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",7,6,16
"474",1,126,6,23,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",7,1,12
"493",1,23,5,24,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",9,3,13
"510",1,25,1,25,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",8,0,14
"528",1,49,1,26,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",7,5,16
"550",1,131,5,27,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",2,12,18
"575",1,53,5,28,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",7,1,13
"594",1,95,5,29,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",11,0,16
"616",1,69,3,30,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",4,11,18
"641",1,11,5,31,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",8,11,21
"674",1,123,3,32,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",4,13,21
"707",1,117,3,33,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",6,3,13
"720",1,32,2,34,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",10,4,17
"741",1,104,2,35,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",3,5,12
"765",1,66,6,36,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",7,5,15
"781",1,60,6,37,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",8,3,14
"800",1,135,3,38,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",7,10,21
"828",1,42,6,39,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",10,11,23
"855",1,138,6,40,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",12,6,19
"880",1,134,2,41,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",9,1,15
"902",1,129,3,42,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",6,1,11
"919",1,83,5,43,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",15,11,27
"957",1,110,2,44,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",5,6,13
"977",1,40,4,45,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",10,13,25
"1010",1,71,5,46,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",8,1,14
"1028",1,76,4,47,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",7,1,11
"1040",1,122,2,48,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",6,0,10
"1052",1,118,4,49,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",8,4,16
"1071",1,100,4,50,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",9,0,13
"1086",1,37,1,51,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",8,7,16
"1108",1,17,5,52,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",10,3,17
"1127",1,61,1,53,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",7,4,15
"1148",1,4,4,54,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",9,0,15
"1167",1,64,4,55,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",7,1,14
"1185",1,22,4,56,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",5,2,11
"1201",1,125,5,58,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",9,4,16
"1222",1,89,5,59,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",9,3,15
"1244",1,36,6,60,1,"D:/Data/E1DEG/E1DEG1.asc","mask","20",8,1,12
"1258",1,33,3,61,1,"D:/Data/E1DEG/E1DEG1.asc","mask","0",8,2,16
"1278",1,19,1,62,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",8,0,13
"1293",1,65,5,63,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",6,1,14
"1310",1,92,2,64,1,"D:/Data/E1DEG/E1DEG1.asc","orth","0",8,4,17
"1332",1,41,5,65,1,"D:/Data/E1DEG/E1DEG1.asc","orth","20",8,4,14
"1351",1,121,1,66,1,"D:/Data/E1DEG/E1DEG1.asc","valid","0",4,9,17
"1376",1,28,4,67,1,"D:/Data/E1DEG/E1DEG1.asc","valid","20",9,2,15
