"","sub","cond","item","seq","start_time","end_time","duration_ms","deg","prev"
"134",1,5,137,89,1512620,1516792,4172,"20","orth"
"135",1,1,43,90,1519731,1526261,6530,"0","valid"
"137",1,4,124,91,1532146,1537371,5225,"20","valid"
"138",1,2,68,92,1540696,1546787,6091,"0","orth"
"139",1,1,73,93,1549827,1554024,4197,"0","valid"
"140",1,6,90,94,1557177,1564607,7430,"20","mask"
"141",1,3,9,95,1567886,1571312,3426,"0","mask"
"143",1,2,56,96,1577676,1584906,7230,"0","orth"
"144",1,4,34,97,1587985,1591291,3306,"20","valid"
"146",1,3,75,98,1597368,1602367,4999,"0","mask"
"147",1,1,115,99,1605679,1608791,3112,"0","valid"
"148",1,4,94,100,1613096,1616994,3898,"20","valid"
"149",1,5,5,101,1620214,1626084,5870,"20","orth"
"151",1,3,57,102,1632989,1636894,3905,"0","mask"
"152",1,6,120,103,1640346,1643451,3105,"20","mask"
"153",1,6,24,104,1646831,1650849,4018,"20","mask"
"155",1,5,29,105,1657247,1662824,5577,"20","orth"
"157",1,3,27,106,1669369,1672007,2638,"0","mask"
"159",1,6,78,107,1677099,1679005,1906,"20","mask"
"160",1,6,30,108,1681877,1683970,2093,"20","mask"
"162",1,1,79,109,1689821,1692633,2812,"0","valid"
"163",1,3,21,110,1695506,1698851,3345,"0","mask"
"165",1,6,18,111,1704556,1708314,3758,"20","mask"
"167",1,6,108,112,1713805,1724735,10930,"20","mask"
"168",1,2,74,113,1728080,1734098,6018,"0","orth"
"169",1,4,46,114,1737230,1739782,2552,"20","valid"
"171",1,6,132,115,1745420,1748433,3013,"20","mask"
"172",1,1,97,116,1754997,1757742,2745,"0","valid"
"173",1,1,103,117,1781967,1787098,5131,"0","valid"
"174",1,4,130,118,1790957,1794596,3639,"20","valid"
"175",1,3,99,119,1798654,1803972,5318,"0","mask"
"176",1,1,31,120,1807291,1813209,5918,"0","valid"
"178",1,6,6,121,1820526,1823672,3146,"20","mask"
"180",1,2,116,122,1829363,1832501,3138,"0","orth"
"181",1,2,50,123,1835420,1838533,3113,"0","orth"
"183",1,6,72,124,1843911,1847409,3498,"20","mask"
"184",1,5,77,125,1851255,1854833,3578,"20","orth"
"185",1,6,84,126,1858299,1863277,4978,"20","mask"
"186",1,4,10,127,1866736,1869955,3219,"20","valid"
"188",1,3,111,128,1876159,1882770,6611,"0","mask"
"189",1,1,127,129,1886715,1889681,2966,"0","valid"
"190",1,4,106,130,1892506,1895312,2806,"20","valid"
"191",1,3,81,131,1898091,1899997,1906,"0","mask"
"192",1,3,63,132,1903129,1904928,1799,"0","mask"
"193",1,2,8,133,1907954,1909753,1799,"0","orth"
"195",1,1,1,134,1916164,1918136,1972,"0","valid"
"197",1,6,12,135,1924141,1927447,3306,"20","mask"
"199",1,6,96,136,1933564,1937143,3579,"20","mask"
"200",1,1,91,137,1939969,1942094,2125,"0","valid"
"201",1,2,86,138,1944920,1946406,1486,"0","orth"
"101",2,4,57,1,2978401,2983212,4811,"20","valid"
"1110",2,5,136,2,2986291,2994049,7758,"20","orth"
"123",2,3,20,3,2999311,3004083,4772,"0","mask"
"1410",2,3,38,4,3013626,3018313,4687,"0","mask"
"164",2,1,6,5,3026934,3031509,4575,"0","valid"
"1810",2,6,17,6,3038536,3045778,7242,"20","mask"
"202",2,5,70,7,3058054,3066557,8503,"20","orth"
"21",2,2,55,8,3072663,3076918,4255,"0","orth"
"221",2,3,86,9,3083951,3089853,5902,"0","mask"
"23",2,3,122,10,3114528,3118267,3739,"0","mask"
"241",2,4,39,11,3124725,3130941,6216,"20","valid"
"261",2,6,101,12,3137817,3141451,3634,"20","mask"
"271",2,2,115,13,3145890,3149079,3189,"0","orth"
"281",2,5,130,14,3152243,3157367,5124,"20","orth"
"29",2,4,33,15,3162799,3166943,4144,"20","valid"
"31",2,5,124,16,3177356,3180937,3581,"20","orth"
"321",2,5,64,17,3187049,3190775,3726,"20","orth"
"331",2,3,50,18,3194625,3198547,3922,"0","mask"
"351",2,6,35,19,3205665,3210332,4667,"20","mask"
"371",2,2,37,20,3219110,3224868,5758,"0","orth"
"39",2,5,58,21,3232948,3238471,5523,"20","orth"
"401",2,2,25,22,3244341,3248334,3993,"0","orth"
"421",2,3,26,23,3256740,3261753,5013,"0","mask"
"441",2,4,27,24,3269845,3275643,5798,"20","valid"
"461",2,4,75,25,3283402,3290736,7334,"20","valid"
"47",2,3,80,26,3297377,3300958,3581,"0","mask"
"481",2,1,72,27,3304737,3308344,3607,"0","valid"
"49",2,4,21,28,3313280,3318247,4967,"20","valid"
"511",2,3,98,29,3327196,3332817,5621,"0","mask"
"52",2,6,65,30,3343393,3348138,4745,"20","mask"
"531",2,2,31,31,3352439,3356831,4392,"0","orth"
"551",2,3,116,32,3366381,3371394,5013,"0","mask"
"56",2,1,30,33,3376820,3379663,2843,"0","valid"
"581",2,2,73,34,3387284,3390232,2948,"0","orth"
"591",2,4,81,35,3395063,3398730,3667,"20","valid"
"60",2,5,4,36,3404697,3410181,5484,"20","orth"
"621",2,5,112,37,3419685,3423725,4040,"20","orth"
"631",2,5,82,38,3428503,3432157,3654,"20","orth"
"641",2,1,60,39,3439785,3445295,5510,"0","valid"
"651",2,2,79,40,3451321,3454877,3556,"0","orth"
"66",2,6,71,41,3458610,3461707,3097,"20","mask"
"671",2,3,68,42,3465388,3470185,4797,"0","mask"
"681",2,3,32,43,3475343,3478421,3078,"0","mask"
"701",2,3,104,44,3490461,3494350,3889,"0","mask"
"711",2,6,107,45,3500272,3504253,3981,"20","mask"
"721",2,1,66,46,3508672,3511966,3294,"0","valid"
"73",2,3,8,47,3518881,3522300,3419,"0","mask"
"751",2,1,18,48,3533542,3538373,4831,"0","valid"
"771",2,1,114,49,3568179,3571394,3215,"0","valid"
"781",2,4,117,50,3574480,3577689,3209,"20","valid"
"791",2,2,121,51,3580702,3583605,2903,"0","orth"
"80",2,6,131,52,3586670,3590409,3739,"20","mask"
"811",2,6,119,53,3593821,3598435,4614,"20","mask"
"82",2,6,29,54,3603233,3606364,3131,"20","mask"
"841",2,1,42,55,3615384,3618659,3275,"0","valid"
"861",2,4,111,56,3626836,3630601,3765,"20","valid"
"871",2,5,118,57,3634347,3637608,3261,"20","orth"
"88",2,1,12,58,3641863,3645831,3968,"0","valid"
"901",2,4,69,59,3654564,3657479,2915,"20","valid"
"911",2,3,44,60,3660133,3663290,3157,"0","mask"
"93",2,1,36,61,3671329,3674061,2732,"0","valid"
"95",2,5,22,62,3682977,3686794,3817,"20","orth"
"97",2,5,46,63,3694795,3698043,3248,"20","orth"
"991",2,5,76,64,3704939,3710064,5125,"20","orth"
"1001",2,4,9,65,3713391,3716869,3478,"20","valid"
"1021",2,1,138,66,3785585,3789546,3961,"0","valid"
"1031",2,3,14,67,3793181,3797050,3869,"0","mask"
"1051",2,6,95,68,3807711,3811404,3693,"20","mask"
"1061",2,2,19,69,3814495,3817731,3236,"0","orth"
"108",2,5,34,70,3827457,3831595,4138,"20","orth"
"110",2,4,15,71,3840399,3843687,3288,"20","valid"
"1121",2,4,3,72,3851112,3853988,2876,"20","valid"
"114",2,6,59,73,3861329,3865473,4144,"20","mask"
"1151",2,3,74,74,3870669,3874695,4026,"0","mask"
"116",2,5,10,75,3878121,3882925,4804,"20","orth"
"1181",2,5,106,76,3889815,3893050,3235,"20","orth"
"1191",2,2,133,77,3896717,3900272,3555,"0","orth"
"1201",2,1,54,78,3903325,3906587,3262,"0","valid"
"1221",2,6,11,79,3918372,3920843,2471,"20","mask"
"1241",2,2,13,80,3928124,3932033,3909,"0","orth"
"1261",2,4,105,81,3940393,3943119,2726,"20","valid"
"127",2,3,128,82,3946609,3950439,3830,"0","mask"
"1281",2,1,132,83,3953564,3957904,4340,"0","valid"
"1291",2,2,127,84,3961629,3964244,2615,"0","orth"
"130",2,4,123,85,3967297,3971382,4085,"20","valid"
"1311",2,3,92,86,3974604,3979147,4543,"0","mask"
"1321",2,4,63,87,3982245,3985239,2994,"20","valid"
"133",2,6,53,88,3988089,3991775,3686,"20","mask"
"1351",2,5,52,89,3998893,4001854,2961,"20","orth"
"1371",2,1,96,90,4009535,4013038,3503,"0","valid"
"1381",2,5,40,91,4017234,4021208,3974,"20","orth"
"1401",2,6,83,92,4028209,4032660,4451,"20","mask"
"1411",2,1,84,93,4036733,4039582,2849,"0","valid"
"142",2,3,56,94,4045282,4049596,4314,"0","mask"
"1431",2,3,110,95,4052838,4055590,2752,"0","mask"
"1441",2,4,93,96,4064564,4067623,3059,"20","valid"
"145",2,5,100,97,4071506,4074454,2948,"20","orth"
"1461",2,2,1,98,4077624,4080840,3216,"0","orth"
"1481",2,3,62,99,4094919,4098619,3700,"0","mask"
"1491",2,2,109,100,4102149,4105966,3817,"0","orth"
"150",2,2,103,101,4110169,4114280,4111,"0","orth"
"1511",2,1,90,102,4117516,4121744,4228,"0","valid"
"1521",2,1,48,103,4126673,4128869,2196,"0","valid"
"154",2,6,23,104,4139144,4142465,3321,"20","mask"
"156",2,5,16,105,4150158,4154106,3948,"20","orth"
"158",2,6,5,106,4172807,4176304,3497,"20","mask"
"1601",2,4,87,107,4183160,4186246,3086,"20","valid"
"161",2,6,125,108,4189095,4191886,2791,"20","mask"
"1621",2,1,126,109,4194619,4197991,3372,"0","valid"
"1631",2,6,41,110,4201057,4203953,2896,"20","mask"
"1651",2,1,24,111,4212528,4215378,2850,"0","valid"
"1671",2,1,78,112,4222961,4226078,3117,"0","valid"
"1681",2,1,102,113,4229353,4232314,2961,"0","valid"
"1691",2,1,120,114,4235465,4240543,5078,"0","valid"
"170",2,3,2,115,4244335,4247171,2836,"0","mask"
"1721",2,4,51,116,4255224,4258309,3085,"20","valid"
"1741",2,3,134,117,4265989,4269264,3275,"0","mask"
"1751",2,6,137,118,4284180,4288317,4137,"20","mask"
"1761",2,1,108,119,4292148,4296318,4170,"0","valid"
"177",2,6,113,120,4299351,4301998,2647,"20","mask"
"1781",2,4,99,121,4304992,4308221,3229,"20","valid"
"179",2,5,28,122,4313947,4317313,3366,"20","orth"
"1811",2,4,129,123,4326320,4330281,3961,"20","valid"
"182",2,4,135,124,4336386,4340576,4190,"20","valid"
"1831",2,6,77,125,4344413,4348178,3765,"20","mask"
"1841",2,2,61,126,4352283,4355270,2987,"0","orth"
"1851",2,5,88,127,4359061,4363198,4137,"20","orth"
"1861",2,2,91,128,4366186,4369349,3163,"0","orth"
"187",2,6,47,129,4372055,4374585,2530,"20","mask"
"1891",2,2,49,130,4383402,4386376,2974,"0","orth"
"1911",2,4,45,131,4393834,4396351,2517,"20","valid"
"1931",2,2,85,132,4403913,4408430,4517,"0","orth"
"194",2,2,43,133,4412005,4414803,2798,"0","orth"
"196",2,2,97,134,4420993,4425039,4046,"0","orth"
"1971",2,2,67,135,4428360,4431026,2666,"0","orth"
"198",2,2,7,136,4435805,4439523,3718,"0","orth"
"2001",2,6,89,137,4448269,4451773,3504,"20","mask"
"2011",2,5,94,138,4454910,4459394,4484,"20","orth"
"104",3,4,116,1,8027426,8031218,3792,"20","valid"
"1111",3,4,20,2,8034437,8037082,2645,"20","valid"
"13",3,2,102,3,8042480,8044973,2493,"0","orth"
"1412",3,4,110,4,8047718,8050590,2872,"20","valid"
"15",3,1,17,5,8053743,8057148,3405,"0","valid"
"17",3,2,138,6,8062540,8065359,2819,"0","orth"
"1812",3,4,68,7,8068617,8071483,2866,"20","valid"
"1910",3,5,51,8,8076821,8079073,2252,"20","orth"
"211",3,6,82,9,8083998,8085937,1939,"20","mask"
"222",3,1,53,10,8088943,8091509,2566,"0","valid"
"242",3,2,72,11,8096434,8098626,2192,"0","orth"
"25",3,3,133,12,8101519,8103904,2385,"0","mask"
"262",3,6,16,13,8106703,8109009,2306,"20","mask"
"282",3,1,107,14,8115353,8118026,2673,"0","valid"
"291",3,1,131,15,8120831,8123310,2479,"0","valid"
"301",3,4,8,16,8126343,8129881,3538,"20","valid"
"322",3,4,80,17,8135140,8137165,2025,"20","valid"
"332",3,6,70,18,8140011,8142390,2379,"20","mask"
"34",3,1,113,19,8145076,8147009,1933,"0","valid"
"352",3,6,58,20,8149868,8153373,3505,"20","mask"
"36",3,2,6,21,8156352,8158997,2645,"0","orth"
"381",3,2,114,22,8164542,8167315,2773,"0","orth"
"391",3,3,31,23,8170420,8173359,2939,"0","mask"
"411",3,4,98,24,8179396,8183495,4099,"20","valid"
"422",3,1,83,25,8186721,8189913,3192,"0","valid"
"431",3,4,44,26,8192752,8195317,2565,"20","valid"
"45",3,6,10,27,8200709,8204194,3485,"20","mask"
"471",3,4,56,28,8210198,8213924,3726,"20","valid"
"482",3,3,1,29,8216896,8220508,3612,"0","mask"
"501",3,5,45,30,8225713,8229012,3299,"20","orth"
"521",3,5,69,31,8234643,8237842,3199,"20","orth"
"532",3,5,3,32,8240780,8244133,3353,"20","orth"
"552",3,4,92,33,8249198,8253989,4791,"20","valid"
"561",3,3,25,34,8257041,8260593,3552,"0","mask"
"582",3,2,90,35,8265372,8268617,3245,"0","orth"
"592",3,4,86,36,8271296,8274708,3412,"20","valid"
"601",3,1,119,37,8277820,8282032,4212,"0","valid"
"611",3,1,71,38,8284811,8287370,2559,"0","valid"
"622",3,2,24,39,8290122,8293275,3153,"0","orth"
"642",3,3,127,40,8299246,8301971,2725,"0","mask"
"652",3,6,88,41,8305157,8307976,2819,"20","mask"
"661",3,5,57,42,8310901,8314034,3133,"20","orth"
"672",3,2,12,43,8316819,8319525,2706,"0","orth"
"691",3,6,46,44,8325256,8329108,3852,"20","mask"
"712",3,6,64,45,8335999,8338705,2706,"20","mask"
"722",3,3,61,46,8341543,8345828,4285,"0","mask"
"731",3,1,29,47,8349034,8351886,2852,"0","valid"
"752",3,3,67,48,8357444,8361303,3859,"0","mask"
"761",3,4,74,49,8364428,8368194,3766,"20","valid"
"772",3,2,42,50,8371166,8373078,1912,"0","orth"
"792",3,3,73,51,8379403,8381735,2332,"0","mask"
"801",3,5,21,52,8384521,8386507,1986,"20","orth"
"821",3,6,4,53,8392418,8394590,2172,"20","mask"
"842",3,1,23,54,8399269,8400928,1659,"0","valid"
"862",3,2,66,55,8405680,8408059,2379,"0","orth"
"872",3,2,78,56,8411351,8413517,2166,"0","orth"
"881",3,5,9,57,8416582,8419275,2693,"20","orth"
"902",3,1,137,58,8424366,8426812,2446,"0","valid"
"912",3,1,47,59,8430204,8433370,3166,"0","valid"
"931",3,1,65,60,8438488,8440254,1766,"0","valid"
"941",3,2,126,61,8443066,8445265,2199,"0","orth"
"951",3,1,11,62,8448071,8449897,1826,"0","valid"
"971",3,3,55,63,8457034,8459493,2459,"0","mask"
"981",3,5,111,64,8462492,8467297,4805,"20","orth"
"992",3,2,96,65,8470270,8473688,3418,"0","orth"
"1002",3,4,2,66,8501278,8504377,3099,"20","valid"
"1022",3,5,129,67,8509788,8514600,4812,"20","orth"
"1032",3,6,52,68,8517752,8520131,2379,"20","mask"
"1052",3,5,105,69,8525389,8529274,3885,"20","orth"
"1062",3,3,121,70,8532453,8535325,2872,"0","mask"
"1071",3,1,41,71,8538284,8541290,3006,"0","valid"
"1091",3,4,26,72,8546561,8549160,2599,"20","valid"
"1112",3,3,7,73,8556637,8561982,5345,"0","mask"
"1131",3,5,39,74,8569913,8573371,3458,"20","orth"
"1152",3,5,75,75,8579316,8582728,3412,"20","orth"
"1161",3,3,19,76,8585600,8587933,2333,"0","mask"
"1182",3,3,43,77,8593391,8599675,6284,"0","mask"
"1202",3,1,5,78,8605600,8609425,3825,"0","valid"
"1222",3,1,125,79,8614956,8618608,3652,"0","valid"
"1231",3,6,106,80,8621281,8623479,2198,"20","mask"
"1242",3,4,62,81,8626199,8628917,2718,"20","valid"
"1251",3,6,28,82,8631597,8634769,3172,"20","mask"
"1271",3,2,48,83,8640473,8641926,1453,"0","orth"
"1292",3,6,22,84,8647591,8650956,3365,"20","mask"
"1312",3,1,59,85,8656334,8659906,3572,"0","valid"
"1322",3,4,122,86,8662872,8665064,2192,"20","valid"
"1331",3,5,33,87,8668096,8671895,3799,"20","orth"
"1352",3,5,99,88,8677633,8680332,2699,"20","orth"
"136",3,2,54,89,8683404,8685504,2100,"0","orth"
"1382",3,3,13,90,8691794,8696679,4885,"0","mask"
"1402",3,5,117,91,8701504,8703823,2319,"20","orth"
"1413",3,4,128,92,8706822,8710241,3419,"20","valid"
"1421",3,4,32,93,8713260,8716232,2972,"20","valid"
"1442",3,4,14,94,8721397,8725162,3765,"20","valid"
"1462",3,5,135,95,8730527,8735771,5244,"20","orth"
"1471",3,6,100,96,8738650,8743089,4439,"20","mask"
"1482",3,6,136,97,8746568,8750166,3598,"20","mask"
"1492",3,4,134,98,8753372,8756431,3059,"20","valid"
"1501",3,5,123,99,8759316,8763295,3979,"20","orth"
"1512",3,2,120,100,8766054,8769926,3872,"0","orth"
"1522",3,2,18,101,8773058,8775503,2445,"0","orth"
"1541",3,3,109,102,8781248,8786506,5258,"0","mask"
"1551",3,6,124,103,8789432,8792691,3259,"20","mask"
"1561",3,2,60,104,8795536,8799335,3799,"0","orth"
"1571",3,3,79,105,8802301,8806792,4491,"0","mask"
"1581",3,4,38,106,8809797,8812830,3033,"20","valid"
"1602",3,5,87,107,8818501,8822846,4345,"20","orth"
"1611",3,1,89,108,8825892,8829390,3498,"0","valid"
"1622",3,6,94,109,8832456,8835981,3525,"20","mask"
"1632",3,2,84,110,8838700,8842539,3839,"0","orth"
"1641",3,6,34,111,8845571,8850043,4472,"20","mask"
"166",3,3,49,112,8856127,8860352,4225,"0","mask"
"1682",3,4,104,113,8865190,8868942,3752,"20","valid"
"1692",3,1,95,114,8871961,8875827,3866,"0","valid"
"1701",3,5,81,115,8879119,8881925,2806,"20","orth"
"1711",3,2,108,116,8884950,8888089,3139,"0","orth"
"1722",3,6,76,117,8890888,8894926,4038,"20","mask"
"1731",3,1,77,118,8897785,8900504,2719,"0","valid"
"1742",3,3,115,119,8903376,8906409,3033,"0","mask"
"1752",3,6,118,120,8909581,8913753,4172,"20","mask"
"1762",3,4,50,121,8916725,8919137,2412,"20","valid"
"1782",3,3,97,122,8924242,8927648,3406,"0","mask"
"1791",3,1,101,123,8930886,8934458,3572,"0","valid"
"1801",3,2,30,124,8936917,8939670,2753,"0","orth"
"1821",3,3,37,125,8944535,8948773,4238,"0","mask"
"1842",3,2,36,126,8954198,8957124,2926,"0","orth"
"1862",3,1,35,127,8962702,8965574,2872,"0","valid"
"1881",3,3,85,128,8971585,8975776,4191,"0","mask"
"1892",3,6,40,129,8979162,8984766,5604,"20","mask"
"1912",3,6,112,130,8990378,8993610,3232,"20","mask"
"1921",3,5,27,131,8996429,9000701,4272,"20","orth"
"1941",3,6,130,132,9006192,9009744,3552,"20","mask"
"1951",3,5,63,133,9012723,9015615,2892,"20","orth"
"1961",3,5,93,134,9018334,9021320,2986,"20","orth"
"1972",3,3,91,135,9024905,9030916,6011,"0","mask"
"1981",3,5,15,136,9033995,9037120,3125,"20","orth"
"2002",3,2,132,137,9042392,9046004,3612,"0","orth"
"2012",3,3,103,138,9049010,9053494,4484,"0","mask"
"1010",4,3,24,1,3537753,3543749,5996,"0","mask"
"1210",4,1,82,2,3550059,3554353,4294,"0","valid"
"1310",4,5,92,3,3557943,3562961,5018,"20","orth"
"1414",4,3,48,4,3566009,3569407,3398,"0","mask"
"1610",4,4,127,5,3575320,3579503,4183,"20","valid"
"1710",4,5,32,6,3582687,3587685,4998,"20","orth"
"1913",4,2,137,7,3598307,3602021,3714,"0","orth"
"203",4,1,40,8,3605309,3609584,4275,"0","valid"
"223",4,1,10,9,3615929,3620707,4778,"0","valid"
"243",4,4,31,10,3627484,3631889,4405,"20","valid"
"263",4,6,135,11,3638757,3643991,5234,"20","mask"
"272",4,5,50,12,3647163,3651317,4154,"20","orth"
"292",4,3,66,13,3657124,3660909,3785,"0","mask"
"302",4,4,115,14,3663777,3667581,3804,"20","valid"
"311",4,6,9,15,3671402,3675937,4535,"20","mask"
"333",4,2,101,16,3683519,3686533,3014,"0","orth"
"341",4,2,125,17,3689577,3692678,3101,"0","orth"
"353",4,3,72,18,3695913,3699627,3714,"0","mask"
"361",4,5,86,19,3702956,3706519,3563,"20","orth"
"372",4,6,129,20,3710042,3716671,6629,"20","mask"
"382",4,6,57,21,3720686,3724648,3962,"20","mask"
"392",4,2,89,22,3728160,3732312,4152,"0","orth"
"402",4,5,62,23,3735953,3739821,3868,"20","orth"
"412",4,5,116,24,3743105,3747274,4169,"20","orth"
"423",4,5,38,25,3750512,3754142,3630,"20","orth"
"442",4,2,35,26,3760506,3763068,2562,"0","orth"
"462",4,6,21,27,3770245,3773095,2850,"20","mask"
"483",4,3,60,28,3779788,3783450,3662,"0","mask"
"491",4,3,18,29,3786593,3790731,4138,"0","mask"
"512",4,4,67,30,3796792,3799227,2435,"20","valid"
"522",4,1,16,31,3802873,3805995,3122,"0","valid"
"541",4,6,81,32,3812350,3815910,3560,"20","mask"
"553",4,3,36,33,3819753,3822966,3213,"0","mask"
"571",4,1,88,34,3829950,3832999,3049,"0","valid"
"583",4,3,132,35,3835942,3839411,3469,"0","mask"
"593",4,2,131,36,3844653,3848042,3389,"0","orth"
"602",4,3,96,37,3851217,3854370,3153,"0","mask"
"612",4,2,77,38,3857393,3860447,3054,"0","orth"
"623",4,5,134,39,3864333,3868302,3969,"20","orth"
"632",4,5,14,40,3872100,3876366,4266,"20","orth"
"653",4,3,114,41,3883266,3886935,3669,"0","mask"
"662",4,3,54,42,3890394,3892866,2472,"0","mask"
"682",4,1,130,43,3903970,3907141,3171,"0","valid"
"692",4,6,99,44,3911333,3914592,3259,"20","mask"
"702",4,6,15,45,3917887,3920521,2634,"20","mask"
"723",4,2,5,46,3926663,3929293,2630,"0","orth"
"741",4,4,37,47,3935973,3940064,4091,"20","valid"
"762",4,6,33,48,3946644,3950379,3735,"20","mask"
"782",4,3,42,49,3957266,3960653,3387,"0","mask"
"802",4,1,118,50,3967612,3971006,3394,"0","valid"
"812",4,4,73,51,3974584,3977495,2911,"20","valid"
"822",4,4,61,52,3981034,3984648,3614,"20","valid"
"831",4,2,59,53,3987838,3991221,3383,"0","orth"
"843",4,4,103,54,3996022,4000061,4039,"20","valid"
"85",4,4,133,55,4003462,4006528,3066,"20","valid"
"863",4,4,19,56,4009824,4012828,3004,"20","valid"
"882",4,4,109,57,4019541,4024751,5210,"20","valid"
"891",4,6,51,58,4027945,4031288,3343,"20","mask"
"913",4,5,128,59,4037154,4041839,4685,"20","orth"
"921",4,4,25,60,4045672,4049164,3492,"20","valid"
"942",4,1,22,61,4055421,4058561,3140,"0","valid"
"961",4,6,123,62,4064810,4068731,3921,"20","mask"
"972",4,2,83,63,4072428,4076192,3764,"0","orth"
"982",4,1,4,64,4081566,4084929,3363,"0","valid"
