"","sub","cond","item","seq","start_time","end_time","duration_ms","deg","prev"
"10",1,2,128,1,558738,569913,11175,"0","orth"
"11",1,2,80,2,573159,581249,8090,"0","orth"
"12",1,3,45,3,585081,591698,6617,"0","mask"
"14",1,4,52,4,597543,602548,5005,"20","valid"
"16",1,4,16,5,608972,612111,3139,"20","valid"
"18",1,1,85,6,618695,625519,6824,"0","valid"
"19",1,2,62,7,628831,632577,3746,"0","orth"
"20",1,1,7,8,636455,650823,14368,"0","valid"
"22",1,3,15,9,658207,660659,2452,"0","mask"
"24",1,3,3,10,666744,672349,5605,"0","mask"
"26",1,2,98,11,680119,686683,6564,"0","orth"
"27",1,5,101,12,690588,697832,7244,"20","orth"
"28",1,2,26,13,701658,708222,6564,"0","orth"
"30",1,6,54,14,714786,719105,4319,"20","mask"
"32",1,5,107,15,726489,731646,5157,"20","orth"
"33",1,5,47,16,735325,738597,3272,"20","orth"
"35",1,2,2,17,744362,748461,4099,"0","orth"
"37",1,5,59,18,754525,759090,4565,"20","orth"
"38",1,2,44,19,762802,766354,3552,"0","orth"
"40",1,3,105,20,772245,775810,3565,"0","mask"
"41",1,4,58,21,778856,785247,6391,"20","valid"
"42",1,6,102,22,788132,792884,4752,"20","mask"
"43",1,6,126,23,796236,800687,4451,"20","mask"
"44",1,5,23,24,803813,809364,5551,"20","orth"
"46",1,1,25,25,815482,818081,2599,"0","valid"
"48",1,1,49,26,824919,829730,4811,"0","valid"
"50",1,5,131,27,835815,842945,7130,"20","orth"
"51",1,5,53,28,846004,849316,3312,"20","orth"
"53",1,5,95,29,855274,860065,4791,"20","orth"
"54",1,3,69,30,863571,871148,7577,"0","mask"
"55",1,5,11,31,874161,886076,11915,"20","orth"
"57",1,3,123,32,891840,901803,9963,"0","mask"
"58",1,3,117,33,905002,907754,2752,"0","mask"
"59",1,2,32,34,911013,916431,5418,"0","orth"
"61",1,2,104,35,922343,927880,5537,"0","orth"
"62",1,6,66,36,930919,935231,4312,"20","mask"
"63",1,6,60,37,938783,944101,5318,"20","mask"
"64",1,3,135,38,947473,955530,8057,"0","mask"
"65",1,6,42,39,958662,966819,8157,"20","mask"
"67",1,6,138,40,974063,980687,6624,"20","mask"
"68",1,2,134,41,983666,987705,4039,"0","orth"
"69",1,3,129,42,990824,998374,7550,"0","mask"
"70",1,5,83,43,1002360,1014142,11782,"20","orth"
"71",1,2,110,44,1017594,1022825,5231,"0","orth"
"72",1,4,40,45,1026317,1037146,10829,"20","valid"
"74",1,5,71,46,1044524,1048136,3612,"20","orth"
"75",1,4,76,47,1051428,1054114,2686,"20","valid"
"76",1,2,122,48,1057226,1059845,2619,"0","orth"
"77",1,4,118,49,1062917,1066909,3992,"20","valid"
"78",1,4,100,50,1069754,1072587,2833,"20","valid"
"79",1,1,37,51,1075633,1081590,5957,"0","valid"
"81",1,5,17,52,1087555,1093306,5751,"20","orth"
"83",1,1,61,53,1099649,1104747,5098,"0","valid"
"84",1,4,4,54,1107959,1110932,2973,"20","valid"
"86",1,4,64,55,1116496,1119608,3112,"20","valid"
"87",1,4,22,56,1122327,1127232,4905,"20","valid"
"89",1,4,88,57,1133497,1143466,9969,"20","valid"
"90",1,5,125,58,1148030,1151775,3745,"20","orth"
"91",1,5,89,59,1154634,1160299,5665,"20","orth"
"92",1,6,36,60,1163225,1166823,3598,"20","mask"
"94",1,3,33,61,1174187,1178092,3905,"0","mask"
"96",1,1,19,62,1184603,1188368,3765,"0","valid"
"98",1,5,65,63,1194513,1198397,3884,"20","orth"
"99",1,2,92,64,1203423,1206754,3331,"0","orth"
"100",1,5,41,65,1209933,1214631,4698,"20","orth"
"102",1,1,121,66,1286758,1293282,6524,"0","valid"
"103",1,4,28,67,1296308,1300013,3705,"20","valid"
"105",1,4,70,68,1305778,1310523,4745,"20","valid"
"106",1,1,109,69,1313635,1318166,4531,"0","valid"
"107",1,3,39,70,1320946,1331621,10675,"0","mask"
"109",1,2,14,71,1337679,1341904,4225,"0","orth"
"111",1,4,112,72,1349682,1352394,2712,"20","valid"
"112",1,3,87,73,1356699,1365096,8397,"0","mask"
"113",1,6,48,74,1368015,1378091,10076,"20","mask"
"115",1,1,13,75,1390326,1400049,9723,"0","valid"
"117",1,5,119,76,1405367,1409659,4292,"20","orth"
"118",1,4,136,77,1412804,1417323,4519,"20","valid"
"119",1,1,67,78,1420388,1423221,2833,"0","valid"
"120",1,1,133,79,1426706,1428878,2172,"0","valid"
"121",1,3,93,80,1433004,1436529,3525,"0","mask"
"122",1,3,51,81,1439948,1442694,2746,"0","mask"
"124",1,5,113,82,1448565,1455189,6624,"20","orth"
"125",1,6,114,83,1458215,1464325,6110,"20","mask"
"126",1,2,20,84,1467544,1470750,3206,"0","orth"
"128",1,4,82,85,1477140,1481438,4298,"20","valid"
"129",1,5,35,86,1485250,1489069,3819,"20","orth"
"131",1,1,55,87,1495466,1498652,3186,"0","valid"
"132",1,2,38,88,1501791,1507115,5324,"0","orth"
