"","sub","item","cond","seq","word","wordID","FFD","SFD","GD","TVT","nfix1","nfix2","nfixAll","regress","skip_1st","skip_total","deg","prev"
"69",1,5,5,101,9,"stern",187,NA,365,640,2,1,3,1,0,0,"20","orth"
"97",1,7,1,8,8,"surge",314,NA,735,1677,2,4,6,1,0,0,"0","valid"
"147",1,10,4,127,11,"noun",243,243,243,243,1,0,1,0,0,0,"20","valid"
"158",1,11,5,31,5,"skirt",408,408,408,753,1,2,3,1,0,0,"20","orth"
"178",1,12,6,135,11,"serve",256,256,256,586,1,1,2,1,0,0,"20","mask"
"187",1,13,1,75,5,"worst",327,327,327,874,1,2,3,1,0,0,"0","valid"
"206",1,14,2,71,8,"purge",286,286,286,286,1,0,1,0,0,0,"0","orth"
"264",1,18,6,111,6,"sleeve",212,212,212,297,1,1,2,1,0,0,"20","mask"
"275",1,19,1,62,6,"sweep",291,291,291,291,1,0,1,0,0,0,"0","valid"
"292",1,20,2,84,10,"jerk",283,283,283,283,1,0,1,0,0,0,"0","orth"
"305",1,21,3,110,9,"sneak",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"328",1,23,5,24,5,"beef",205,205,205,205,1,0,1,0,0,0,"20","orth"
"353",1,25,1,25,5,"bleak",245,245,245,245,1,0,1,0,0,0,"0","valid"
"368",1,26,2,13,5,"sleek",322,322,322,322,1,0,1,0,0,0,"0","orth"
"397",1,28,4,67,5,"veal",564,564,564,564,1,0,1,0,0,0,"20","valid"
"420",1,30,6,108,4,"bleach",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"494",1,35,5,86,8,"part",280,280,280,485,1,1,2,1,0,0,"20","orth"
"507",1,36,6,60,7,"lisp",381,381,381,381,1,0,1,0,0,0,"20","mask"
"534",1,38,2,88,8,"wild",NA,NA,NA,NA,0,0,0,0,1,1,"0","orth"
"575",1,41,5,65,6,"step",199,199,199,199,1,0,1,0,0,0,"20","orth"
"600",1,43,1,90,4,"chain",249,249,249,559,1,1,2,1,0,0,"0","valid"
"614",1,44,2,19,7,"death",147,NA,320,664,2,1,3,1,0,0,"0","orth"
"638",1,46,4,114,5,"fifth",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"655",1,47,5,16,7,"ghost",161,161,161,161,1,0,1,0,0,0,"20","orth"
"685",1,50,2,123,8,"clone",153,153,153,153,1,0,1,0,0,0,"0","orth"
"711",1,52,4,4,6,"crack",260,260,260,260,1,0,1,0,0,0,"20","valid"
"742",1,54,6,14,10,"cruise",144,144,144,363,1,1,2,1,0,0,"20","mask"
"755",1,55,1,87,9,"flirt",257,NA,587,587,2,0,2,0,0,0,"0","valid"
"795",1,58,4,21,7,"swirl",252,252,252,452,1,1,2,1,0,0,"20","valid"
"845",1,61,1,53,10,"fleece",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"900",1,65,5,63,8,"teeth",193,NA,374,374,2,0,2,0,0,0,"20","orth"
"914",1,66,6,36,7,"hurl",264,264,264,264,1,0,1,0,0,0,"20","mask"
"926",1,67,1,78,7,"glee",285,285,285,285,1,0,1,0,0,0,"0","valid"
"943",1,68,2,92,11,"gleam",NA,NA,NA,NA,0,0,0,0,1,1,"0","orth"
"984",1,71,5,46,7,"nerve",NA,NA,NA,438,0,1,1,1,1,0,"20","orth"
"1031",1,75,3,98,4,"dean",183,183,183,570,1,2,3,1,0,0,"0","mask"
"1046",1,76,4,47,7,"glean",309,309,309,309,1,0,1,0,0,0,"20","valid"
"1074",1,78,6,107,8,"thirst",229,229,229,229,1,0,1,0,0,0,"20","mask"
"1085",1,79,1,109,10,"clean",218,218,218,218,1,0,1,0,0,0,"0","valid"
"1116",1,81,3,131,11,"cheat",103,103,103,103,1,0,1,0,0,0,"0","mask"
"1144",1,83,5,43,9,"cleat",715,715,715,1374,1,3,4,1,0,0,"20","orth"
"1171",1,85,1,6,7,"fern",241,241,241,684,1,2,3,1,0,0,"0","valid"
"1217",1,89,5,59,10,"cease",206,206,206,437,1,1,2,1,0,0,"20","orth"
"1284",1,94,4,100,6,"gross",188,188,188,299,1,1,2,1,0,0,"20","valid"
"1301",1,95,5,29,8,"whirl",163,163,163,163,1,0,1,0,0,0,"20","orth"
"1315",1,96,6,136,6,"teal",541,541,541,541,1,0,1,0,0,0,"20","mask"
"1335",1,97,1,116,11,"worth",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"1354",1,99,3,119,4,"work",NA,NA,NA,180,0,1,1,1,1,0,"0","mask"
"1374",1,100,4,50,7,"dwarf",225,225,225,225,1,0,1,0,0,0,"20","valid"
"1385",1,101,5,12,5,"prove",210,210,210,1091,1,2,3,1,0,0,"20","orth"
"1429",1,104,2,35,11,"nine",NA,NA,NA,266,0,1,1,1,1,0,"0","orth"
"1466",1,107,5,15,8,"spit",352,352,352,352,1,0,1,0,0,0,"20","orth"
"1480",1,108,6,112,6,"rake",332,332,332,824,1,2,3,1,0,0,"20","mask"
"1494",1,109,1,69,6,"reap",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"1522",1,111,3,128,6,"noon",419,419,419,1091,1,2,3,1,0,0,"0","mask"
"1536",1,112,4,72,4,"musk",258,258,258,258,1,0,1,0,0,0,"20","valid"
"1562",1,114,6,83,5,"brawl",311,311,311,311,1,0,1,0,0,0,"20","mask"
"1577",1,115,1,99,8,"chalk",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"1589",1,116,2,122,7,"claim",294,294,294,294,1,0,1,0,0,0,"0","orth"
"1699",1,124,4,91,8,"sweet",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"1740",1,127,1,129,9,"speed",250,250,250,250,1,0,1,0,0,0,"0","valid"
"1812",1,132,6,115,7,"plate",294,294,294,294,1,0,1,0,0,0,"20","mask"
"1824",1,133,1,79,8,"drive",246,246,246,246,1,0,1,0,0,0,"0","valid"
"1853",1,135,3,38,6,"clench",408,408,408,895,1,2,3,1,0,0,"0","mask"
"1899",1,138,6,40,9,"groove",520,520,520,1043,1,2,3,1,0,0,"20","mask"
"1925",2,2,3,115,6,"type",NA,NA,NA,NA,0,0,0,0,1,1,"0","mask"
"1940",2,3,4,72,5,"dirt",NA,NA,NA,NA,0,0,0,0,1,1,"20","valid"
"1990",2,6,1,5,8,"merge",267,267,267,267,1,0,1,0,0,0,"0","valid"
"2002",2,7,2,136,8,"surge",232,NA,550,550,3,0,3,0,0,0,"0","orth"
"2020",2,8,3,47,12,"church",292,292,292,292,1,0,1,0,0,0,"0","mask"
"2038",2,9,4,65,14,"burp",204,204,204,204,1,0,1,0,0,0,"20","valid"
"2063",2,11,6,79,5,"skirt",253,253,253,253,1,0,1,0,0,0,"20","mask"
"2083",2,12,1,58,11,"serve",185,NA,337,337,2,0,2,0,0,0,"0","valid"
"2092",2,13,2,80,5,"worst",219,NA,350,350,2,0,2,0,0,0,"0","orth"
"2121",2,15,4,71,4,"term",NA,NA,NA,230,0,1,1,1,1,0,"20","valid"
"2140",2,16,5,105,11,"twirl",339,339,339,339,1,0,1,0,0,0,"20","orth"
"2152",2,17,6,6,6,"plea",NA,NA,NA,205,0,2,2,1,1,0,"20","mask"
"2169",2,18,1,48,6,"sleeve",116,NA,365,645,2,1,3,1,0,0,"0","valid"
"2180",2,19,2,69,6,"sweep",321,321,321,321,1,0,1,0,0,0,"0","orth"
"2197",2,20,3,3,10,"jerk",NA,NA,NA,258,0,1,1,1,1,0,"0","mask"
"2210",2,21,4,28,9,"sneak",NA,NA,NA,155,0,1,1,1,1,0,"20","valid"
"2224",2,22,5,62,10,"steam",273,273,273,461,1,1,2,1,0,0,"20","orth"
"2233",2,23,6,104,5,"beef",197,197,197,197,1,0,1,0,0,0,"20","mask"
"2245",2,24,1,111,6,"burst",247,247,247,247,1,0,1,0,0,0,"0","valid"
"2257",2,25,2,22,5,"bleak",112,112,112,366,1,1,2,1,0,0,"0","orth"
"2287",2,27,4,24,5,"steep",156,NA,355,786,2,2,4,1,0,0,"20","valid"
"2301",2,28,5,122,5,"veal",NA,NA,NA,NA,0,0,0,0,1,1,"20","orth"
"2315",2,29,6,54,8,"cleave",215,215,215,215,1,0,1,0,0,0,"20","mask"
"2370",2,33,4,15,9,"bush",350,350,350,350,1,0,1,0,0,0,"20","valid"
"2384",2,34,5,70,7,"cold",148,148,148,323,1,1,2,1,0,0,"20","orth"
"2439",2,38,3,4,8,"wild",281,281,281,281,1,0,1,0,0,0,"0","mask"
"2466",2,40,5,91,10,"team",316,316,316,316,1,0,1,0,0,0,"20","orth"
"2480",2,41,6,110,6,"step",NA,NA,NA,NA,0,0,0,0,1,1,"20","mask"
"2517",2,44,3,60,7,"death",224,224,224,224,1,0,1,0,0,0,"0","mask"
"2540",2,46,5,63,5,"fifth",125,125,125,125,1,0,1,0,0,0,"20","orth"
"2569",2,48,1,103,5,"trust",NA,NA,NA,NA,0,0,0,0,1,1,"0","valid"
"2583",2,49,2,130,10,"spoon",102,102,102,102,1,0,1,0,0,0,"0","orth"
