"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"1",1,45,3,1,1,591876,594423,2547,1,1,1,"0","mask"
"2",1,52,4,2,1,602749,605217,2468,1,1,1,"20","valid"
"3",1,16,4,3,1,612301,615157,2856,0,0,1,"20","valid"
"4",1,7,1,4,1,651002,655014,4012,1,1,1,"0","valid"
"5",1,15,3,5,1,660835,663248,2413,1,1,1,"0","mask"
"6",1,3,3,6,1,672540,676674,4134,1,1,1,"0","mask"
"7",1,26,2,7,1,708402,711713,3311,1,1,1,"0","orth"
"8",1,54,6,8,1,719294,721942,2648,1,1,1,"20","mask"
"9",1,47,5,9,1,738768,740664,1896,1,1,1,"20","orth"
"10",1,2,2,10,1,748641,751286,2645,1,1,1,"0","orth"
"11",1,44,2,11,1,766538,768985,2447,1,1,1,"0","orth"
"12",1,23,5,12,1,809532,812357,2825,0,0,1,"20","orth"
"13",1,25,1,13,1,818253,820707,2454,0,0,1,"0","valid"
"14",1,49,1,14,1,829904,832488,2584,0,0,1,"0","valid"
"15",1,53,5,15,1,849486,851829,2343,0,0,1,"20","orth"
"16",1,11,5,16,1,886249,888521,2272,0,1,0,"20","orth"
"17",1,32,2,17,1,916602,918956,2354,1,1,1,"0","orth"
"18",1,42,6,18,1,967001,971118,4117,1,1,1,"20","mask"
"19",1,40,4,19,1,1037319,1041025,3706,0,0,1,"20","valid"
"20",1,37,1,20,1,1081761,1084288,2527,1,1,1,"0","valid"
"21",1,17,5,21,1,1093620,1096136,2516,1,1,1,"20","orth"
"22",1,4,4,22,1,1111122,1113243,2121,0,0,1,"20","valid"
"23",1,22,4,23,1,1127402,1129785,2383,1,1,1,"20","valid"
"24",1,36,6,24,1,1167018,1170747,3729,1,1,1,"20","mask"
"25",1,33,3,25,1,1178267,1181430,3163,0,0,1,"0","mask"
"26",1,19,1,26,1,1188534,1191185,2651,1,0,0,"0","valid"
"27",1,41,5,27,1,1214840,1218122,3282,0,0,1,"20","orth"
"28",1,28,4,28,1,1300187,1302573,2386,0,0,1,"20","valid"
"29",1,39,3,29,1,1331792,1334387,2595,1,1,1,"0","mask"
"30",1,14,2,30,1,1342075,1344869,2794,1,1,1,"0","orth"
"31",1,48,6,31,1,1378407,1387121,8714,0,0,1,"20","mask"
"32",1,13,1,32,1,1400218,1402269,2051,1,1,1,"0","valid"
"33",1,51,3,33,1,1442861,1445404,2543,0,0,1,"0","mask"
"34",1,20,2,34,1,1470937,1473336,2399,1,1,1,"0","orth"
"35",1,35,5,35,1,1489258,1492579,3321,0,0,1,"20","orth"
"36",1,38,2,36,1,1507286,1509581,2295,0,0,1,"0","orth"
"37",1,43,1,37,1,1526448,1529139,2691,0,0,1,"0","valid"
"38",1,9,3,38,1,1571493,1574296,2803,1,1,1,"0","mask"
"39",1,34,4,39,1,1591456,1594288,2832,1,1,1,"20","valid"
"40",1,5,5,40,1,1626256,1629675,3419,0,0,1,"20","orth"
"41",1,24,6,41,1,1651031,1653501,2470,0,0,1,"20","mask"
"42",1,29,5,42,1,1663018,1666077,3059,1,1,1,"20","orth"
"43",1,27,3,43,1,1672178,1674132,1954,0,0,1,"0","mask"
"44",1,30,6,44,1,1684151,1686261,2110,1,1,1,"20","mask"
"45",1,21,3,45,1,1699046,1701621,2575,1,1,1,"0","mask"
"46",1,18,6,46,1,1708497,1710387,1890,0,0,1,"20","mask"
"47",1,46,4,47,1,1739967,1742282,2315,0,0,1,"20","valid"
"48",1,31,1,48,1,1813386,1817287,3901,0,0,1,"0","valid"
"49",1,6,6,49,1,1823837,1826298,2461,0,0,1,"20","mask"
"50",1,50,2,50,1,1838727,1840879,2152,1,1,1,"0","orth"
"51",1,10,4,51,1,1870150,1872893,2743,0,0,1,"20","valid"
"52",1,8,2,52,1,1909923,1912706,2783,0,0,1,"0","orth"
"53",1,1,1,53,1,1918309,1920795,2486,0,0,1,"0","valid"
"54",1,12,6,54,1,1927640,1930232,2592,0,0,1,"20","mask"
"55",2,20,3,1,1,3004255,3010053,5798,1,1,1,"0","mask"
"56",2,38,3,2,1,3018504,3021814,3310,0,0,1,"0","mask"
"57",2,6,1,3,1,3031682,3035356,3674,0,0,1,"0","valid"
"58",2,17,6,4,1,3045966,3050403,4437,1,1,1,"20","mask"
"59",2,39,4,5,1,3131126,3134799,3673,1,1,1,"20","valid"
"60",2,33,4,6,1,3167127,3171692,4565,0,0,1,"20","valid"
"61",2,50,3,7,1,3198712,3201556,2844,1,1,1,"0","mask"
"62",2,35,6,8,1,3210503,3214026,3523,0,0,1,"20","mask"
"63",2,37,2,9,1,3225040,3228903,3863,1,1,1,"0","orth"
"64",2,25,2,10,1,3248509,3252656,4147,0,0,1,"0","orth"
"65",2,26,3,11,1,3261922,3265127,3205,1,1,1,"0","mask"
