"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"361",2,6,13,3492165,3497279,5114,5.1,"0"
"381",2,4,67,3502191,3507154,4963,5,"0"
"391",2,8,23,3509264,3512545,3281,3.3,"0"
"411",2,7,54,3516872,3520647,3775,3.8,"20"
"42",2,8,31,3522927,3526149,3222,3.2,"0"
"44",2,2,25,3530523,3534088,3565,3.6,"0"
"461",2,1,64,3538590,3542032,3442,3.4,"20"
"471",2,5,68,3544213,3547422,3209,3.2,"20"
"481",2,7,6,3549191,3553194,4003,4,"20"
"501",2,6,45,3557657,3560347,2690,2.7,"0"
"511",2,5,20,3562082,3565406,3324,3.3,"20"
"531",2,8,7,3570445,3573556,3111,3.1,"0"
"551",2,5,44,3578829,3582618,3789,3.8,"20"
"561",2,2,41,3584403,3587947,3544,3.5,"0"
"571",2,4,19,3589758,3593744,3986,4,"0"
"591",2,8,47,3598597,3601376,2779,2.8,"0"
"601",2,4,51,3603281,3607020,3739,3.7,"0"
"61",2,2,57,3609081,3612497,3416,3.4,"0"
"621",2,6,21,3614484,3617784,3300,3.3,"0"
"641",2,6,61,3622713,3628405,5692,5.7,"0"
"65",2,6,53,3632039,3636388,4349,4.3,"0"
"661",2,7,70,3638350,3641890,3540,3.5,"20"
"671",2,6,37,3644211,3646797,2586,2.6,"0"
"68",2,1,32,3648962,3652373,3411,3.4,"20"
"701",2,6,69,3657004,3660661,3657,3.7,"0"
"711",2,8,55,3663194,3666788,3594,3.6,"0"
"721",2,5,12,3668585,3672527,3942,3.9,"20"
"741",2,3,42,3676725,3680972,4247,4.2,"20"
"751",2,7,78,3683222,3686844,3622,3.6,"20"
"76",2,4,3,3688692,3691981,3289,3.3,"0"
"781",2,4,75,3696513,3699827,3314,3.3,"0"
"791",2,3,34,3701773,3706283,4510,4.5,"20"
"801",2,3,26,3708330,3712390,4060,4.1,"20"
"82",2,5,60,3716894,3719765,2871,2.9,"20"
"831",2,8,79,3721878,3724950,3072,3.1,"0"
"84",2,2,33,3726843,3729348,2505,2.5,"0"
"851",2,7,46,3732778,3735780,3002,3,"20"
"861",2,3,50,3738383,3740833,2450,2.5,"20"
"871",2,2,65,3742714,3746064,3350,3.4,"0"
"881",2,3,10,3747837,3751455,3618,3.6,"20"
"901",2,7,62,3756052,3760226,4174,4.2,"20"
"911",2,6,5,3762208,3766048,3840,3.8,"0"
"931",2,1,56,3771086,3773872,2786,2.8,"20"
"94",2,4,43,3775804,3778516,2712,2.7,"0"
"951",2,3,66,3780318,3783767,3449,3.4,"20"
"961",2,1,40,3785670,3788961,3291,3.3,"20"
"971",2,7,30,3790750,3794081,3331,3.3,"20"
"991",2,4,59,3798032,3801702,3670,3.7,"0"
"1001",2,6,77,3803410,3806760,3350,3.4,"0"
"1011",2,2,9,3808631,3812772,4141,4.1,"0"
"1031",2,4,27,3817228,3820615,3387,3.4,"0"
"1051",2,1,72,3825118,3829895,4777,4.8,"20"
"1061",2,1,48,3832958,3836417,3459,3.5,"20"
"107",2,2,1,3838097,3842250,4153,4.2,"0"
"109",2,1,80,3846365,3848904,2539,2.5,"20"
"1101",2,8,39,3850818,3853669,2851,2.9,"0"
"111",2,5,28,3855814,3858447,2633,2.6,"20"
"1131",2,7,22,3862973,3866459,3486,3.5,"20"
"115",2,5,76,3871235,3874309,3074,3.1,"20"
"1161",2,6,29,3876310,3879793,3483,3.5,"0"
"1181",2,3,58,3885597,3889242,3645,3.6,"20"
"710",3,4,10,5314363,5319862,5499,5.5,"0"
"98",3,2,32,5335370,5340509,5139,5.1,"0"
"119",3,2,40,5346017,5350145,4128,4.1,"0"
"121",3,4,74,5355451,5360537,5086,5.1,"0"
"132",3,6,76,5362425,5366071,3646,3.6,"0"
"142",3,2,16,5370716,5375161,4445,4.4,"0"
"161",3,3,1,5380505,5384561,4056,4.1,"20"
"182",3,2,56,5392613,5395526,2913,2.9,"0"
"19",3,2,48,5398029,5402203,4174,4.2,"0"
"202",3,7,21,5406109,5409812,3703,3.7,"20"
"221",3,1,63,5414753,5419964,5211,5.2,"20"
"232",3,7,37,5423023,5427108,4085,4.1,"20"
"24",3,4,18,5431058,5434762,3704,3.7,"0"
"261",3,1,47,5440775,5443956,3181,3.2,"20"
"272",3,3,17,5447173,5451003,3830,3.8,"20"
"292",3,8,30,5462729,5466976,4247,4.2,"0"
"311",3,7,69,5478604,5483033,4429,4.4,"20"
"321",3,2,64,5485839,5490619,4780,4.8,"0"
"331",3,6,28,5494512,5497977,3465,3.5,"0"
"351",3,5,35,5502699,5507355,4656,4.7,"20"
"362",3,1,79,5509925,5512852,2927,2.9,"20"
"371",3,8,38,5514777,5518320,3543,3.5,"0"
"382",3,5,43,5521257,5525035,3778,3.8,"20"
"392",3,6,44,5528418,5532331,3913,3.9,"0"
"401",3,5,3,5537224,5541807,4583,4.6,"20"
"421",3,3,25,5552608,5555916,3308,3.3,"20"
"441",3,3,9,5562777,5567697,4920,4.9,"20"
"462",3,7,13,5572483,5577203,4720,4.7,"20"
"482",3,8,54,5585704,5590504,4800,4.8,"0"
"49",3,8,22,5594936,5599071,4135,4.1,"0"
"512",3,3,41,5604682,5608432,3750,3.8,"20"
"52",3,1,71,5614535,5618250,3715,3.7,"20"
"532",3,1,15,5623190,5626603,3413,3.4,"20"
"552",3,2,24,5631277,5635191,3914,3.9,"0"
"572",3,8,70,5641764,5646742,4978,5,"0"
"58",3,2,72,5651380,5656088,4708,4.7,"0"
"592",3,6,68,5660383,5663695,3312,3.3,"0"
"602",3,4,26,5669399,5672640,3241,3.2,"0"
"622",3,8,6,5677788,5682510,4722,4.7,"0"
"642",3,6,20,5689158,5693078,3920,3.9,"0"
"662",3,5,11,5698693,5702427,3734,3.7,"20"
"681",3,6,4,5708940,5712126,3186,3.2,"0"
"702",3,2,8,5716916,5720049,3133,3.1,"0"
