"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"35",2,15,8,6,1,3393794,3396078,6,6,1,"invalid","0",8
"36",2,17,2,6,1,3410475,3412699,6,6,1,"valid","0",2
"37",2,2,3,6,1,3419897,3421722,6,6,1,"phon","20",3
"38",2,24,1,7,1,3435337,3436858,7,7,1,"valid","20",1
"39",2,11,4,7,1,3443962,3445988,6,7,0,"phon","0",4
"40",2,4,5,7,1,3452453,3454492,7,7,1,"orth","20",5
"41",2,8,1,7,1,3462170,3463814,7,7,1,"valid","20",1
"42",2,16,1,7,1,3471054,3472233,7,7,1,"valid","20",1
"43",2,13,6,6,1,3498596,3499948,6,6,1,"orth","0",6
"44",2,23,8,7,1,3513875,3515143,7,7,1,"invalid","0",8
"45",2,31,8,7,1,3527440,3528522,7,7,1,"invalid","0",8
"46",2,25,2,7,1,3535413,3536617,7,7,1,"valid","0",2
"47",2,6,7,7,1,3554516,3555977,7,7,1,"invalid","20",7
"48",2,20,5,6,1,3566746,3568361,6,6,1,"orth","20",5
"49",2,7,8,6,1,3574926,3576768,6,6,1,"invalid","0",8
"50",2,19,4,6,1,3595095,3596855,6,6,1,"phon","0",4
"51",2,21,6,6,1,3619128,3620538,6,6,1,"orth","0",6
"52",2,32,1,6,1,3653707,3655048,6,6,1,"valid","20",1
"53",2,12,5,7,1,3673865,3675023,7,7,1,"orth","20",5
"54",2,3,4,6,1,3693311,3694603,6,6,1,"phon","0",4
"55",2,26,3,6,1,3713733,3715104,6,6,1,"phon","20",3
"56",2,10,3,7,1,3752816,3754316,7,7,1,"phon","20",3
"57",2,5,6,7,1,3767424,3769343,7,7,1,"orth","0",6
"58",2,30,7,6,1,3795369,3796266,6,6,1,"invalid","20",7
"59",2,9,2,6,1,3814101,3815358,6,6,1,"valid","0",2
"60",2,27,4,7,1,3821958,3823180,7,7,1,"phon","0",4
"61",2,1,2,7,1,3843615,3844638,7,7,1,"valid","0",2
"62",2,28,5,7,1,3859830,3861109,7,7,1,"orth","20",5
"63",2,22,7,6,1,3867771,3869278,6,6,1,"invalid","20",7
"64",2,29,6,6,1,3881137,3882387,6,6,1,"orth","0",6
"65",3,10,4,7,1,5321211,5323752,7,7,1,"phon","0",4
"66",3,32,2,6,1,5341859,5343198,6,6,1,"valid","0",2
"67",3,16,2,7,1,5376492,5377966,7,7,1,"valid","0",2
"68",3,1,3,7,1,5385899,5387423,7,7,1,"phon","20",3
"69",3,21,7,6,1,5411200,5412255,6,6,1,"invalid","20",7
"70",3,18,4,7,1,5436083,5437143,7,7,1,"phon","0",4
"71",3,17,3,6,1,5452324,5453409,6,6,1,"phon","20",3
"72",3,30,8,6,1,5468281,5469137,6,6,1,"invalid","0",8
"73",3,28,6,7,1,5499357,5500616,7,7,1,"orth","0",6
"74",3,3,5,6,1,5543125,5544275,6,6,1,"orth","20",5
"75",3,25,3,7,1,5557232,5558400,7,7,1,"phon","20",3
"76",3,9,3,6,1,5569025,5570418,6,6,1,"phon","20",3
"77",3,13,7,6,1,5578501,5579534,6,6,1,"invalid","20",7
"78",3,22,8,6,1,5600358,5602100,6,6,1,"invalid","0",8
"79",3,15,1,6,1,5627916,5629104,6,6,1,"valid","20",1
"80",3,24,2,7,1,5636523,5639129,7,7,1,"valid","0",2
"81",3,26,4,6,1,5673983,5675701,6,6,1,"phon","0",4
"82",3,6,8,7,1,5683848,5684867,7,7,1,"invalid","0",8
"83",3,20,6,6,1,5694437,5695586,6,6,1,"orth","0",6
"84",3,11,5,7,1,5703730,5704960,7,7,1,"orth","20",5
"85",3,4,6,7,1,5713437,5714638,7,7,1,"orth","0",6
"86",3,8,2,7,1,5721391,5722615,7,7,1,"valid","0",2
"87",3,27,5,7,1,5749200,5750402,7,7,1,"orth","20",5
"88",3,19,5,6,1,5773231,5774377,6,6,1,"orth","20",5
"89",3,23,1,7,1,5794232,5795553,7,7,1,"valid","20",1
"90",3,31,1,7,1,5803048,5804210,7,7,1,"valid","20",1
"91",3,7,1,6,1,5820587,5822259,6,6,1,"valid","20",1
"92",3,12,6,7,1,5880817,5882376,7,7,1,"orth","0",6
"93",3,14,8,6,1,5891154,5892393,6,6,1,"invalid","0",8
"94",3,29,7,6,1,5953743,5956094,6,6,1,"invalid","20",7
"95",3,5,7,7,1,5971669,5973368,7,7,1,"invalid","20",7
"96",3,2,4,6,1,5980154,5981890,6,6,1,"phon","0",4
"97",4,16,3,7,1,7160518,7162777,7,7,1,"phon","20",3
"98",4,9,4,6,1,7205751,7207452,6,6,1,"phon","0",4
"99",4,13,8,6,1,7215098,7216896,6,6,1,"invalid","0",8
"100",4,24,3,7,1,7230753,7232981,7,7,1,"phon","20",3
"101",4,29,8,6,1,7242512,7244766,6,6,1,"invalid","0",8
"102",4,32,3,6,1,7253764,7255817,6,6,1,"phon","20",3
"103",4,15,2,6,1,7275856,7277751,6,6,1,"valid","0",2
"104",4,12,7,7,1,7294421,7296468,7,7,1,"invalid","20",7
"105",4,21,8,6,1,7310618,7312760,6,6,1,"invalid","0",8
"106",4,26,5,6,1,7325390,7327504,6,6,1,"orth","20",5
"107",4,2,5,6,1,7345422,7348027,6,6,1,"orth","20",5
"108",4,31,2,7,1,7375048,7377626,7,7,1,"valid","0",2
"109",4,28,7,7,1,7392658,7394657,7,7,1,"invalid","20",7
"110",4,20,7,6,1,7402158,7404843,6,6,1,"invalid","20",7
"111",4,6,1,7,1,7415643,7417357,7,7,1,"valid","20",1
"112",4,7,2,6,1,7432255,7434725,6,6,1,"valid","0",2
"113",4,19,6,6,1,7450844,7454236,6,6,1,"orth","0",6
"114",4,8,3,7,1,7492574,7494546,7,7,1,"phon","20",3
"115",4,22,1,6,1,7513296,7515307,6,6,1,"valid","20",1
"116",4,25,4,7,1,7558232,7559869,7,7,1,"phon","0",4
"117",4,18,5,7,1,7578404,7580757,7,7,1,"orth","20",5
"118",4,3,6,6,1,7589546,7591549,6,6,1,"orth","0",6
"119",4,23,2,7,1,7632931,7634658,7,7,1,"valid","0",2
"120",4,11,6,7,1,7640992,7646115,6,7,0,"orth","0",6
"121",4,17,4,6,1,7656358,7658302,6,6,1,"phon","0",4
"122",4,30,1,6,1,7789595,7791135,6,6,1,"valid","20",1
"123",4,10,5,7,1,7812846,7816610,7,7,1,"orth","20",5
"124",4,4,7,7,1,7842200,7844298,7,7,1,"invalid","20",7
"125",4,5,8,7,1,7851598,7853579,7,7,1,"invalid","0",8
"126",4,1,4,7,1,7859589,7863338,7,7,1,"phon","0",4
"127",4,14,1,6,1,7878562,7881484,7,6,0,"valid","20",1
"128",4,27,6,7,1,7893046,7894503,7,7,1,"orth","0",6
"129",5,6,2,7,1,8894361,8897740,6,7,0,"valid","0",2
"130",5,2,6,6,1,8913358,8916354,7,6,0,"orth","0",6
"131",5,9,5,6,1,8927424,8930032,7,6,0,"orth","20",5
"132",5,32,4,6,1,8997345,9003201,6,6,1,"phon","0",4
"133",5,28,8,7,1,9070543,9073198,7,7,1,"invalid","0",8
"134",5,24,4,7,1,9104408,9106567,7,7,1,"phon","0",4
"135",5,21,1,6,1,9115309,9117741,6,6,1,"valid","20",1
"136",5,20,8,6,1,9139752,9141918,6,6,1,"invalid","0",8
"137",5,27,7,7,1,9151443,9154985,7,7,1,"invalid","20",7
"138",5,29,1,6,1,9170750,9174329,7,6,0,"valid","20",1
"139",5,19,7,6,1,9195196,9199682,6,6,1,"invalid","20",7
"140",5,4,8,7,1,9207406,9209073,7,7,1,"invalid","0",8
"141",5,8,4,7,1,9216750,9219017,7,7,1,"phon","0",4
"142",5,7,3,6,1,9227222,9230606,6,6,1,"phon","20",3
"143",5,22,2,6,1,9256610,9258538,6,6,1,"valid","0",2
"144",5,18,6,7,1,9273892,9280021,7,7,1,"orth","0",6
