"","prev","deg","FFD_N_M","FFD_N_SD","FFD_N1_M","FFD_N1_SD","SFD_N_M","SFD_N_SD","SFD_N1_M","SFD_N1_SD","GD_N_M","GD_N_SD","GD_N1_M","GD_N1_SD","TVT_N_M","TVT_N_SD","TVT_N1_M","TVT_N1_SD"
"1","invalid","0",219,68.5056894225281,253,81.2810809595328,219,62.8165612880505,266,80.8908139392008,248,104.021364095845,297,112.856295550102,335,239.117575364613,374,212.403259613549
"2","invalid","20",226,72.3168241956288,268,90.1208567892573,228,73.5137549849765,279,86.5571594655777,252,117.337669304946,299,105.673504582799,313,237.047043010664,388,227.940873027244
"3","orth","0",226,75.7905046379631,247,81.6712798888615,225,75.5826482952824,255,80.3515003388113,247,108.414564316498,278,108.43306300624,289,209.408680209357,341,212.125139558269
"4","orth","20",222,69.9250149186845,258,91.419068835637,222,69.7261954701374,266,90.4109752398406,249,110.940720245424,292,121.79119401991,314,243.732951318278,378,249.80234345794
"5","phon","0",221,72.6317188383641,244,83.5734991978344,222,67.7537867148008,253,82.8300582264313,244,100.507941989889,276,108.178298821157,301,227.844849886978,325,204.049660489257
"6","phon","20",228,82.5445966432217,261,88.2402466948674,226,82.7801846296363,269,87.3225156367367,246,104.370713450359,295,122.972491820714,309,247.174854970442,381,264.932495690369
"7","valid","0",225,78.8354386306952,238,85.0566415554662,226,77.8175520691689,242,86.403003252874,252,118.041189236961,262,107.264893272673,294,234.92830692484,311,218.511178599869
"8","valid","20",217,63.905109161314,251,88.3225999582792,217,60.9691823483406,258,86.7166939492487,241,111.807773483895,282,115.031442268147,314,229.718550668004,374,253.867311196106
