"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.38,0.1,-13.36,0
"prev.PB",0.03,0.12,0.23,0.82
"prev.Orth_PB",-0.1,0.12,-0.84,0.4
"prev.Phon_PB",0.13,0.12,1.08,0.28
"deg1",-0.16,0.04,-3.89,0
"prev.PB:deg1",-0.22,0.12,-1.82,0.07
"prev.Orth_PB:deg1",-0.16,0.12,-1.38,0.17
"prev.Phon_PB:deg1",-0.16,0.12,-1.34,0.18
