"","Estimate","Std. Error","z value","Pr(>|z|)"
"Intercept",-2.56,0.15,-16.91,0
"Invalid PV",-0.14,0.16,-0.89,0.37
"Orth PV",-0.32,0.16,-2.03,0.04
"Phon PV",0.2,0.15,1.29,0.2
"Deg",-0.08,0.06,-1.42,0.16
"Invalid PV:Deg",-0.35,0.16,-2.18,0.03
"Orth PV:Deg",-0.3,0.16,-1.93,0.05
"Phon PV:Deg",0.13,0.15,0.83,0.41
