"","Estimate","Std. Error","t value"
"(Intercept)",5.35,0.01,371.19
"prev.PB",0.01,0.01,0.87
"prev.Orth_PB",0,0.01,0.14
"prev.Phon_PB",-0.02,0.01,-1.3
"deg1",0,0.01,-0.88
"prev.PB:deg1",0,0.01,-0.26
"prev.Orth_PB:deg1",0.01,0.01,0.93
"prev.Phon_PB:deg1",-0.01,0.01,-0.91
