"","Estimate","Std. Error","t value"
"(Intercept)",5.43,0.01,388.26
"prev.PB",0.06,0.01,4.43
"prev.Orth_PB",0.03,0.01,2.11
"prev.Phon_PB",-0.01,0.01,-0.71
"deg1",-0.01,0.01,-2.14
"prev.PB:deg1",0.04,0.01,2.99
"prev.Orth_PB:deg1",0.03,0.01,1.99
"prev.Phon_PB:deg1",-0.01,0.01,-0.7
