"","Estimate","Std. Error","t value"
"(Intercept)",5.41,0.02,334.31
"prev.PB",0,0.01,0.24
"prev.Orth_PB",0.02,0.01,1.46
"deg1",0.01,0,1.38
"prev.PB:deg1",0.02,0.01,1.86
"prev.Orth_PB:deg1",0,0.01,0.48
