"","Estimate","Std. Error","t value"
"(Intercept)",5.42,0.02,322.74
"prev.PB",0.01,0.01,0.72
"prev.Orth_PB",0.02,0.01,2.04
"deg1",0,0,0.78
"prev.PB:deg1",0.02,0.01,1.88
"prev.Orth_PB:deg1",0.01,0.01,0.77
