"","Estimate","Std. Error","t value"
"(Intercept)",5.57,0.02,320.3
"prev.PB",0.12,0.01,10.93
"prev.Orth_PB",0.07,0.01,6.19
"deg1",-0.05,0.01,-8.44
"prev.PB:deg1",0.04,0.01,3.76
"prev.Orth_PB:deg1",0.02,0.01,2.07
