"","Estimate","Std. Error","t value"
"(Intercept)",5.61,0.02,323.06
"prev.PB",0.12,0.01,10.73
"prev.Orth_PB",0.07,0.01,6.48
"deg1",-0.04,0.01,-8.14
"prev.PB:deg1",0.05,0.01,4.36
"prev.Orth_PB:deg1",0.02,0.01,2.1
