"","Estimate","Std. Error","t value"
"(Intercept)",5.53,0.01,457.53
"prev.PB",0.1,0.01,12.9
"prev.Orth_PB",0.05,0.01,6.3
"deg1",-0.02,0,-7.17
"Experiment1",0.02,0,5.91
"prev.PB:deg1",0.04,0.01,5.84
"prev.Orth_PB:deg1",0.03,0.01,3.38
"prev.PB:Experiment1",0,0.01,0.38
"prev.Orth_PB:Experiment1",0.01,0.01,1.76
"deg1:Experiment1",-0.02,0,-6.62
"prev.PB:deg1:Experiment1",-0.01,0.01,-1.17
"prev.Orth_PB:deg1:Experiment1",0,0.01,-0.24
