"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.74,0.13,-13.1,0
"prev.PB",-0.68,0.09,-7.88,0
"prev.Orth_PB",-0.3,0.09,-3.38,0
"deg1",0.01,0.05,0.15,0.88
"prev.PB:deg1",-0.15,0.09,-1.73,0.08
"prev.Orth_PB:deg1",-0.13,0.09,-1.5,0.13
