"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.35,0.1,-13.36,0
"prev.PB",0.07,0.08,0.85,0.4
"prev.Orth_PB",0.02,0.08,0.25,0.8
"deg1",-0.12,0.04,-3.06,0
"prev.PB:deg1",0.09,0.08,1.05,0.29
"prev.Orth_PB:deg1",-0.05,0.08,-0.62,0.53
