"","Estimate","Std. Error","t value"
"(Intercept)",5.51,0.02,351.65
"prev.PB",0.1,0.01,9.13
"prev.Orth_PB",0.04,0.01,3.53
"deg1",0,0.01,-0.28
"prev.PB:deg1",0.05,0.01,4.82
"prev.Orth_PB:deg1",0.03,0.01,2.56
