"","Estimate","Std. Error","t value"
"(Intercept)",5.57,0.02,322.82
"prev.PB",0.12,0.01,10.9
"prev.Orth_PB",0.06,0.01,5.84
"deg1",0,0,0.64
"prev.PB:deg1",0.06,0.01,5.14
"prev.Orth_PB:deg1",0.04,0.01,3.37
