"","Estimate","Std. Error","t value"
"(Intercept)",5.53,0.02,338.43
"prev.PB",0.11,0.01,8.63
"prev.Orth_PB",0.05,0.01,4.23
"deg1",0,0,-0.6
"prev.PB:deg1",0.06,0.01,5.53
"prev.Orth_PB:deg1",0.03,0.01,3.02
