seq,subj,item,cond,R1,R2,R3,R4
61,3,13,7,3.00,1.00,1.00,3.00
19,3,14,8,7.00,1.00,2.00,2.00
67,3,15,1,1.00,1.00,1.00,2.00
38,3,16,2,7.00,0.00,1.00,4.00
79,3,17,3,3.00,1.00,1.00,3.00
15,3,18,4,4.00,1.00,1.00,1.00
59,3,19,5,4.00,2.00,1.00,2.00
16,3,20,6,6.00,2.00,1.00,2.00
49,3,21,7,8.00,1.00,1.00,2.00
37,3,22,8,6.00,0.00,1.00,2.00
76,3,23,1,2.00,1.00,1.00,3.00
32,3,24,2,7.00,1.00,1.00,2.00
55,3,25,3,3.00,2.00,0.00,3.00
17,3,26,4,4.00,0.00,1.00,2.00
34,3,27,5,3.00,1.00,1.00,3.00
39,3,28,6,2.00,1.00,2.00,3.00
8,3,29,7,6.00,1.00,1.00,3.00
36,3,30,8,2.00,1.00,3.00,1.00
22,3,31,1,4.00,1.00,1.00,3.00
72,3,32,2,3.00,1.00,2.00,2.00
6,3,33,3,8.00,1.00,1.00,2.00
44,3,34,4,5.00,1.00,1.00,1.00
57,3,35,5,4.00,1.00,1.00,3.00
69,3,36,6,6.00,1.00,1.00,5.00
20,3,37,7,1.00,1.00,1.00,3.00
46,3,38,8,3.00,3.00,3.00,5.00
23,3,39,1,7.00,1.00,1.00,3.00
78,3,40,2,5.00,1.00,1.00,2.00
2,3,41,3,6.00,2.00,1.00,3.00
40,3,42,4,7.00,0.00,1.00,5.00
47,3,43,5,8.00,1.00,1.00,4.00
62,3,44,6,5.00,1.00,0.00,3.00
5,3,45,7,6.00,1.00,1.00,3.00
4,3,46,8,9.00,1.00,1.00,3.00
27,3,47,1,5.00,1.00,1.00,7.00
11,3,48,2,8.00,1.00,1.00,1.00
33,3,49,3,4.00,0.00,1.00,2.00
56,3,50,4,2.00,2.00,1.00,2.00
10,3,51,5,4.00,3.00,1.00,4.00
7,3,52,6,5.00,1.00,1.00,4.00
41,3,53,7,3.00,1.00,1.00,2.00
45,3,54,8,3.00,2.00,1.00,2.00
35,3,55,1,4.00,1.00,1.00,1.00
68,3,56,2,6.00,2.00,1.00,2.00
12,3,57,3,7.00,1.00,1.00,3.00
73,3,58,4,3.00,2.00,0.00,3.00
43,3,59,5,7.00,1.00,1.00,4.00
13,3,60,6,5.00,1.00,1.00,2.00
54,3,61,7,10.00,1.00,1.00,2.00
77,3,62,8,6.00,1.00,1.00,2.00
0,3,63,1,6.00,1.00,1.00,1.00
42,3,64,2,3.00,1.00,0.00,2.00
60,3,65,3,6.00,1.00,1.00,1.00
24,3,66,4,8.00,1.00,1.00,2.00
14,3,67,5,10.00,1.00,1.00,2.00
30,3,68,6,2.00,3.00,0.00,3.00
65,3,69,7,5.00,1.00,1.00,4.00
70,3,70,8,5.00,2.00,0.00,1.00
21,3,71,1,4.00,1.00,1.00,2.00
31,3,72,2,3.00,1.00,1.00,3.00
28,3,73,3,5.00,1.00,1.00,3.00
74,3,74,4,6.00,2.00,1.00,3.00
26,3,75,5,10.00,0.00,1.00,1.00
64,3,76,6,6.00,1.00,2.00,3.00
63,3,77,7,2.00,0.00,1.00,3.00
51,3,78,8,4.00,1.00,2.00,2.00
1,3,79,1,3.00,1.00,1.00,6.00
9,3,80,2,7.00,1.00,1.00,6.00
34,4,1,4,4.00,1.00,1.00,1.00
51,4,2,5,3.00,1.00,1.00,2.00
55,4,3,6,2.00,1.00,0.00,2.00
8,4,4,7,4.00,0.00,1.00,1.00
45,4,5,8,6.00,0.00,1.00,1.00
42,4,6,1,7.00,0.00,1.00,2.00
26,4,7,2,3.00,1.00,1.00,1.00
52,4,8,3,4.00,1.00,0.00,3.00
77,4,9,4,6.00,0.00,1.00,1.00
37,4,10,5,7.00,1.00,1.00,2.00
19,4,11,6,2.00,1.00,1.00,1.00
38,4,12,7,6.00,1.00,0.00,1.00
27,4,13,8,2.00,0.00,1.00,2.00
74,4,14,1,4.00,1.00,1.00,1.00
66,4,15,2,1.00,1.00,0.00,2.00
72,4,16,3,8.00,2.00,0.00,2.00
68,4,17,4,2.00,1.00,1.00,1.00
75,4,18,5,3.00,1.00,1.00,3.00
58,4,19,6,4.00,1.00,1.00,1.00
41,4,20,7,4.00,1.00,0.00,3.00
5,4,21,8,10.00,1.00,1.00,2.00
10,4,22,1,7.00,1.00,1.00,1.00
54,4,23,2,3.00,1.00,1.00,2.00
31,4,24,3,2.00,1.00,1.00,1.00
63,4,25,4,2.00,0.00,1.00,1.00
67,4,26,5,2.00,0.00,1.00,2.00
0,4,27,6,1.00,1.00,1.00,2.00
18,4,28,7,1.00,1.00,1.00,2.00
7,4,29,8,4.00,1.00,1.00,2.00
33,4,30,1,2.00,1.00,1.00,2.00
3,4,31,2,3.00,1.00,1.00,2.00
39,4,32,3,2.00,1.00,1.00,2.00
28,4,33,4,3.00,0.00,2.00,2.00
69,4,34,5,4.00,1.00,1.00,2.00
44,4,35,6,3.00,1.00,1.00,2.00
20,4,36,7,0.00,1.00,2.00,1.00
4,4,37,8,2.00,1.00,2.00,2.00
65,4,38,1,3.00,0.00,1.00,2.00
61,4,39,2,5.00,1.00,1.00,1.00
46,4,40,3,4.00,0.00,1.00,1.00
62,4,41,4,5.00,0.00,1.00,1.00
2,4,42,5,9.00,0.00,1.00,3.00
36,4,43,6,4.00,0.00,1.00,2.00
30,4,44,7,4.00,1.00,1.00,2.00
1,4,45,8,4.00,1.00,1.00,1.00
16,4,46,1,6.00,1.00,0.00,5.00
17,4,47,2,3.00,1.00,1.00,2.00
64,4,48,3,8.00,1.00,1.00,2.00
70,4,49,4,4.00,1.00,1.00,2.00
22,4,50,5,2.00,1.00,1.00,3.00
56,4,51,6,3.00,1.00,1.00,1.00
21,4,52,7,2.00,1.00,1.00,2.00
71,4,53,8,1.00,1.00,1.00,1.00
53,4,54,1,2.00,1.00,1.00,1.00
29,4,55,2,4.00,2.00,1.00,1.00
59,4,56,3,4.00,0.00,2.00,0.00
49,4,57,4,5.00,1.00,1.00,1.00
48,4,58,5,3.00,1.00,1.00,2.00
11,4,59,6,6.00,0.00,1.00,1.00
24,4,60,7,5.00,1.00,0.00,3.00
9,4,61,8,4.00,1.00,1.00,1.00
14,4,62,1,5.00,1.00,0.00,1.00
23,4,63,2,2.00,1.00,0.00,1.00
12,4,64,3,2.00,1.00,1.00,3.00
50,4,65,4,5.00,1.00,1.00,2.00
57,4,66,5,5.00,1.00,1.00,2.00
40,4,67,6,7.00,1.00,1.00,1.00
43,4,68,7,3.00,0.00,1.00,2.00
32,4,70,1,3.00,1.00,1.00,2.00
35,4,71,2,7.00,1.00,0.00,2.00
15,4,72,3,2.00,1.00,2.00,1.00
73,4,74,5,2.00,0.00,2.00,1.00
6,4,75,6,6.00,1.00,0.00,1.00
13,4,76,7,5.00,0.00,1.00,3.00
76,4,77,8,0.00,1.00,0.00,2.00
60,4,78,1,3.00,1.00,1.00,2.00
47,4,79,2,2.00,1.00,1.00,1.00
25,4,80,3,4.00,1.00,0.00,3.00
54,5,1,5,5.00,0.00,1.00,2.00
15,5,2,6,3.00,1.00,0.00,4.00
38,5,3,7,2.00,2.00,0.00,2.00
32,5,4,8,5.00,1.00,2.00,2.00
19,5,5,1,5.00,0.00,1.00,2.00
49,5,6,2,6.00,1.00,2.00,3.00
74,5,7,3,3.00,0.00,1.00,3.00
26,5,8,4,6.00,1.00,1.00,3.00
21,5,9,5,6.00,1.00,0.00,3.00
37,5,10,6,7.00,1.00,2.00,3.00
44,5,11,7,3.00,1.00,0.00,3.00
12,5,12,8,6.00,1.00,2.00,2.00
71,5,13,1,2.00,1.00,0.00,2.00
36,5,14,2,4.00,0.00,1.00,1.00
27,5,15,3,0.00,1.00,2.00,2.00
33,5,16,4,4.00,0.00,1.00,4.00
3,5,17,5,2.00,1.00,1.00,2.00
48,5,18,6,5.00,1.00,1.00,2.00
22,5,19,7,3.00,2.00,0.00,2.00
68,5,20,8,5.00,1.00,2.00,2.00
24,5,21,1,6.00,1.00,1.00,1.00
59,5,22,2,5.00,1.00,1.00,3.00
0,5,23,3,2.00,1.00,1.00,3.00
9,5,24,4,3.00,1.00,1.00,3.00
67,5,25,5,2.00,1.00,1.00,2.00
75,5,26,6,2.00,0.00,1.00,2.00
79,5,27,7,2.00,1.00,0.00,3.00
66,5,28,8,1.00,1.00,0.00,1.00
73,5,29,1,3.00,1.00,0.00,1.00
8,5,30,2,2.00,1.00,1.00,2.00
42,5,31,3,2.00,1.00,0.00,2.00
5,5,32,4,3.00,1.00,2.00,2.00
45,5,33,5,6.00,0.00,1.00,3.00
57,5,34,6,4.00,0.00,1.00,2.00
34,5,35,7,3.00,1.00,1.00,2.00
52,5,36,8,4.00,0.00,1.00,2.00
39,5,37,1,2.00,0.00,1.00,3.00
60,5,38,2,3.00,1.00,0.00,3.00
58,5,39,3,5.00,0.00,2.00,2.00
10,5,40,4,6.00,1.00,2.00,2.00
78,5,41,5,2.00,1.00,0.00,1.00
29,5,42,6,6.00,0.00,1.00,2.00
1,5,43,7,4.00,0.00,1.00,3.00
18,5,44,8,3.00,1.00,2.00,2.00
6,5,45,1,4.00,0.00,1.00,3.00
47,5,46,2,5.00,1.00,0.00,5.00
70,5,47,3,3.00,1.00,0.00,3.00
77,5,48,4,6.00,0.00,1.00,4.00
61,5,49,5,4.00,0.00,1.00,3.00
72,5,50,6,2.00,1.00,1.00,3.00
13,5,51,7,4.00,1.00,1.00,3.00
16,5,52,8,1.00,1.00,1.00,3.00
7,5,53,1,2.00,1.00,1.00,2.00
31,5,54,2,3.00,1.00,2.00,1.00
56,5,55,3,4.00,0.00,1.00,3.00
30,5,56,4,6.00,1.00,1.00,2.00
17,5,57,5,5.00,1.00,1.00,2.00
20,5,58,6,3.00,1.00,2.00,2.00
55,5,59,7,5.00,1.00,1.00,2.00
43,5,60,8,4.00,1.00,1.00,5.00
23,5,61,1,4.00,1.00,1.00,2.00
14,5,62,2,2.00,1.00,1.00,3.00
4,5,63,3,3.00,1.00,1.00,3.00
41,5,64,4,2.00,1.00,0.00,3.00
28,5,65,5,4.00,1.00,1.00,2.00
69,5,66,6,5.00,1.00,0.00,1.00
46,5,67,7,6.00,0.00,2.00,3.00
53,5,68,8,2.00,0.00,1.00,2.00
40,5,69,1,3.00,0.00,1.00,2.00
2,5,70,2,4.00,1.00,1.00,3.00
62,5,71,3,4.00,1.00,0.00,2.00
63,5,72,4,1.00,2.00,1.00,3.00
25,5,73,5,3.00,1.00,1.00,3.00
76,5,74,6,2.00,0.00,1.00,2.00
65,5,75,7,8.00,0.00,1.00,1.00
50,5,76,8,7.00,0.00,1.00,3.00
64,5,77,1,1.00,1.00,0.00,1.00
11,5,78,2,3.00,2.00,0.00,1.00
51,5,79,3,2.00,1.00,1.00,2.00
35,5,80,4,5.00,1.00,1.00,2.00
18,6,2,7,3.00,1.00,0.00,1.00
31,6,3,8,2.00,1.00,1.00,2.00
42,6,4,1,5.00,1.00,1.00,1.00
23,6,5,2,4.00,0.00,1.00,1.00
59,6,6,3,6.00,1.00,1.00,3.00
55,6,7,4,5.00,2.00,0.00,3.00
15,6,8,5,6.00,1.00,1.00,5.00
39,6,9,6,8.00,0.00,1.00,3.00
51,6,10,7,7.00,1.00,1.00,2.00
35,6,12,1,2.00,0.00,0.00,1.00
29,6,13,2,2.00,1.00,0.00,1.00
47,6,14,3,5.00,1.00,2.00,3.00
52,6,15,4,0.00,1.00,2.00,2.00
41,6,16,5,5.00,1.00,1.00,1.00
58,6,17,6,2.00,1.00,0.00,1.00
49,6,18,7,4.00,1.00,1.00,2.00
36,6,19,8,3.00,1.00,2.00,2.00
63,6,20,1,6.00,1.00,1.00,2.00
7,6,21,2,7.00,1.00,1.00,3.00
22,6,22,3,8.00,1.00,1.00,3.00
37,6,23,4,3.00,0.00,1.00,3.00
56,6,25,6,2.00,1.00,1.00,1.00
57,6,26,7,2.00,1.00,0.00,1.00
24,6,27,8,2.00,1.00,1.00,1.00
3,6,28,1,4.00,1.00,1.00,3.00
53,6,29,2,5.00,1.00,1.00,5.00
4,6,30,3,1.00,1.00,1.00,2.00
45,6,31,4,2.00,1.00,0.00,4.00
1,6,32,5,4.00,1.00,1.00,2.00
14,6,33,6,4.00,1.00,0.00,2.00
67,6,34,7,5.00,1.00,1.00,3.00
44,6,35,8,3.00,1.00,1.00,4.00
26,6,37,2,1.00,1.00,1.00,2.00
43,6,38,3,4.00,1.00,1.00,4.00
17,6,40,5,5.00,2.00,1.00,4.00
11,6,41,6,5.00,2.00,0.00,2.00
20,6,42,7,7.00,1.00,1.00,2.00
5,6,43,8,4.00,0.00,1.00,3.00
8,6,44,1,5.00,1.00,2.00,2.00
64,6,45,2,3.00,0.00,2.00,1.00
28,6,46,3,6.00,2.00,1.00,3.00
62,6,47,4,4.00,1.00,2.00,3.00
19,6,48,5,10.00,1.00,0.00,1.00
40,6,49,6,3.00,1.00,0.00,3.00
9,6,50,7,3.00,2.00,2.00,3.00
10,6,51,8,4.00,1.00,1.00,3.00
33,6,52,1,3.00,1.00,1.00,3.00
30,6,53,2,2.00,1.00,0.00,1.00
34,6,54,3,3.00,1.00,1.00,2.00
27,6,56,5,5.00,1.00,0.00,1.00
70,6,57,6,6.00,1.00,0.00,2.00
68,6,58,7,4.00,1.00,0.00,1.00
32,6,59,8,10.00,1.00,1.00,2.00
25,6,60,1,5.00,1.00,0.00,2.00
0,6,63,4,4.00,1.00,0.00,1.00
6,6,64,5,1.00,1.00,2.00,2.00
21,6,65,6,5.00,1.00,2.00,2.00
54,6,66,7,8.00,1.00,1.00,2.00
50,6,67,8,5.00,0.00,1.00,3.00
38,6,68,1,3.00,0.00,1.00,4.00
71,6,69,2,1.00,1.00,1.00,2.00
16,6,70,3,5.00,1.00,1.00,2.00
69,6,71,4,4.00,1.00,0.00,1.00
66,6,72,5,2.00,1.00,1.00,2.00
65,6,73,6,4.00,1.00,1.00,3.00
61,6,74,7,5.00,1.00,1.00,3.00
48,6,75,8,13.00,0.00,1.00,1.00
60,6,76,1,7.00,1.00,1.00,1.00
13,6,77,2,1.00,1.00,1.00,2.00
46,6,78,3,4.00,1.00,1.00,3.00
2,6,79,4,3.00,1.00,0.00,2.00
12,6,80,5,6.00,1.00,0.00,1.00
37,7,1,7,4.00,1.00,0.00,3.00
34,7,2,8,4.00,1.00,1.00,2.00
19,7,3,1,2.00,1.00,1.00,2.00
21,7,5,3,5.00,0.00,1.00,2.00
46,7,6,4,6.00,1.00,1.00,2.00
55,7,7,5,5.00,1.00,1.00,1.00
38,7,8,6,7.00,1.00,1.00,2.00
17,7,10,8,6.00,1.00,1.00,5.00
48,7,11,1,3.00,1.00,1.00,2.00
5,7,13,3,2.00,1.00,1.00,1.00
28,7,14,4,4.00,1.00,0.00,1.00
51,7,15,5,2.00,1.00,1.00,3.00
12,7,16,6,6.00,1.00,0.00,3.00
62,7,17,7,3.00,1.00,1.00,3.00
15,7,18,8,4.00,2.00,1.00,1.00
42,7,19,1,3.00,1.00,0.00,4.00
27,7,20,2,4.00,1.00,1.00,1.00
32,7,21,3,7.00,2.00,0.00,4.00
44,7,22,4,5.00,0.00,1.00,4.00
18,7,23,5,4.00,1.00,0.00,1.00
35,7,24,6,4.00,1.00,0.00,3.00
43,7,25,7,4.00,1.00,1.00,1.00
23,7,27,1,3.00,1.00,0.00,2.00
14,7,28,2,3.00,1.00,0.00,1.00
8,7,29,3,5.00,1.00,1.00,5.00
40,7,31,5,4.00,1.00,0.00,1.00
29,7,33,7,6.00,0.00,1.00,2.00
1,7,35,1,3.00,1.00,1.00,2.00
6,7,36,2,9.00,1.00,1.00,2.00
11,7,37,3,3.00,0.00,2.00,2.00
9,7,38,4,6.00,1.00,1.00,1.00
36,7,39,5,8.00,1.00,1.00,2.00
39,7,40,6,4.00,1.00,0.00,2.00
59,7,41,7,4.00,0.00,1.00,2.00
4,7,42,8,5.00,1.00,1.00,3.00
13,7,44,2,5.00,1.00,0.00,3.00
57,7,47,5,4.00,1.00,0.00,3.00
47,7,48,6,8.00,1.00,0.00,1.00
25,7,49,7,4.00,1.00,0.00,2.00
52,7,50,8,2.00,1.00,2.00,2.00
2,7,51,1,5.00,1.00,0.00,7.00
3,7,52,2,4.00,1.00,0.00,3.00
16,7,53,3,5.00,3.00,1.00,3.00
53,7,54,4,3.00,1.00,1.00,1.00
22,7,55,5,3.00,1.00,1.00,2.00
10,7,56,6,8.00,1.00,1.00,2.00
45,7,58,8,4.00,1.00,2.00,2.00
7,7,60,2,6.00,1.00,0.00,2.00
60,7,61,3,6.00,1.00,0.00,3.00
20,7,63,5,4.00,0.00,1.00,1.00
33,7,64,6,3.00,1.00,0.00,1.00
31,7,65,7,6.00,1.00,2.00,2.00
50,7,67,1,14.00,1.00,1.00,3.00
30,7,69,3,2.00,1.00,0.00,2.00
56,7,70,4,7.00,0.00,1.00,1.00
0,7,72,6,4.00,1.00,2.00,2.00
26,7,73,7,4.00,1.00,1.00,2.00
41,7,74,8,4.00,1.00,0.00,3.00
24,7,75,1,9.00,1.00,1.00,0.00
61,7,77,3,2.00,1.00,0.00,2.00
49,7,78,4,7.00,1.00,1.00,2.00
54,7,79,5,3.00,1.00,0.00,2.00
58,7,80,6,5.00,1.00,0.00,2.00
17,8,1,8,8.00,1.00,1.00,3.00
18,8,2,1,3.00,2.00,1.00,3.00
42,8,3,2,4.00,1.00,0.00,2.00
64,8,4,3,4.00,2.00,1.00,2.00
71,8,6,5,3.00,1.00,1.00,3.00
72,8,7,6,4.00,1.00,2.00,2.00
7,8,8,7,7.00,1.00,1.00,2.00
44,8,9,8,9.00,1.00,1.00,3.00
32,8,10,1,8.00,1.00,1.00,4.00
15,8,11,2,2.00,1.00,1.00,3.00
14,8,12,3,7.00,1.00,1.00,5.00
77,8,13,4,2.00,0.00,1.00,5.00
16,8,14,5,6.00,1.00,1.00,2.00
24,8,15,6,2.00,2.00,1.00,2.00
3,8,16,7,7.00,1.00,1.00,5.00
39,8,17,8,3.00,1.00,1.00,4.00
51,8,18,1,2.00,1.00,1.00,2.00
10,8,19,2,4.00,2.00,1.00,3.00
56,8,20,3,7.00,1.00,1.00,5.00
62,8,21,4,7.00,1.00,2.00,3.00
66,8,22,5,6.00,2.00,1.00,3.00
40,8,23,6,4.00,1.00,1.00,5.00
6,8,24,7,4.00,1.00,1.00,1.00
53,8,25,8,3.00,1.00,1.00,3.00
36,8,26,1,1.00,1.00,1.00,3.00
28,8,27,2,3.00,1.00,2.00,3.00
46,8,28,3,5.00,1.00,1.00,4.00
4,8,29,4,8.00,1.00,1.00,1.00
34,8,30,5,2.00,2.00,1.00,3.00
13,8,31,6,3.00,1.00,1.00,2.00
11,8,32,7,4.00,1.00,1.00,2.00
54,8,33,8,4.00,1.00,2.00,2.00
26,8,34,1,6.00,1.00,1.00,2.00
25,8,35,2,4.00,1.00,1.00,3.00
37,8,36,3,5.00,1.00,1.00,2.00
20,8,37,4,3.00,1.00,1.00,2.00
5,8,38,5,3.00,1.00,1.00,4.00
55,8,39,6,7.00,1.00,1.00,3.00
49,8,40,7,5.00,1.00,1.00,2.00
74,8,41,8,4.00,1.00,2.00,3.00
69,8,42,1,6.00,1.00,1.00,2.00
48,8,43,2,5.00,1.00,1.00,3.00
12,8,44,3,3.00,2.00,0.00,3.00
75,8,45,4,3.00,2.00,1.00,5.00
45,8,46,5,8.00,1.00,1.00,4.00
43,8,47,6,3.00,1.00,1.00,3.00
19,8,48,7,7.00,2.00,1.00,1.00
61,8,49,8,4.00,1.00,1.00,1.00
41,8,50,1,2.00,1.00,2.00,4.00
67,8,51,2,4.00,1.00,1.00,3.00
33,8,52,3,4.00,1.00,1.00,2.00
0,8,53,4,0.00,1.00,1.00,2.00
22,8,54,5,5.00,1.00,1.00,1.00
29,8,55,6,5.00,2.00,0.00,2.00
68,8,56,7,5.00,1.00,1.00,1.00
58,8,57,8,5.00,1.00,1.00,2.00
76,8,58,1,3.00,2.00,1.00,2.00
2,8,59,2,8.00,1.00,1.00,1.00
59,8,60,3,5.00,1.00,1.00,3.00
47,8,61,4,8.00,1.00,1.00,2.00
70,8,62,5,5.00,1.00,0.00,1.00
63,8,63,6,4.00,0.00,1.00,1.00
35,8,64,7,2.00,1.00,1.00,1.00
73,8,65,8,8.00,1.00,2.00,2.00
23,8,66,1,9.00,1.00,2.00,3.00
8,8,67,2,9.00,1.00,1.00,4.00
