seq,subj,item,cond,R1,R2,R3,R4
57,1,1,1,3171,934,217,1623
60,1,2,2,834,522,,1492
17,1,3,3,1721,740,599,1820
3,1,4,4,2701,765,548,1836
54,1,5,5,1758,169,732,946
20,1,6,6,1799,715,744,960
56,1,7,7,1964,160,194,805
27,1,8,8,3878,330,502,1232
50,1,9,1,2845,221,275,846
19,1,11,3,1615,2343,797,1952
28,1,12,4,1364,213,358,675
45,1,13,5,799,467,1172,1757
68,1,14,6,3194,1379,596,1645
62,1,15,7,713,679,88,2442
64,1,16,8,,591,525,2470
21,1,17,1,757,633,484,1396
52,1,18,2,2402,985,998,2115
29,1,19,3,749,196,383,552
26,1,21,5,2273,493,347,1114
46,1,22,6,3568,325,554,1757
5,1,23,7,2885,1072,1193,2438
32,1,24,8,1363,1192,691,1323
31,1,25,1,980,536,452,1258
66,1,26,2,831,337,473,1089
12,1,27,3,1431,371,226,618
40,1,28,4,857,241,386,1375
7,1,29,5,2649,288,623,1900
11,1,30,6,863,535,1162,2091
18,1,31,7,2659,526,665,2146
1,1,32,8,1928,613,702,1748
38,1,33,1,1411,526,168,852
53,1,34,2,836,560,574,987
72,1,35,3,1570,552,820,1770
73,1,36,4,1927,163,920,1358
36,1,37,5,629,,322,517
59,1,38,6,526,297,390,942
22,1,39,7,3937,473,306,794
39,1,41,1,1659,556,645,1548
47,1,43,3,2046,400,152,981
24,1,44,4,2263,678,376,1774
51,1,45,5,1805,330,602,1641
61,1,46,6,3804,174,528,1466
44,1,47,7,1201,616,567,2418
15,1,48,8,,787,195,738
42,1,49,1,1278,476,574,1452
30,1,50,2,520,484,146,595
2,1,51,3,1829,1372,492,1545
33,1,52,4,1026,991,402,957
65,1,53,5,1055,487,431,1422
23,1,54,6,1228,1216,1003,1222
4,1,55,7,,643,605,1489
16,1,56,8,1838,170,282,651
8,1,57,1,2497,420,402,443
25,1,59,3,3903,234,196,825
34,1,60,4,2316,528,559,1555
55,1,61,5,2263,485,517,1614
13,1,62,6,2727,900,954,1439
10,1,63,7,1842,869,261,1601
49,1,64,8,1149,458,242,1441
71,1,65,1,,589,699,2225
63,1,66,2,3002,775,430,1118
48,1,67,3,3132,187,225,765
58,1,68,4,745,269,204,613
0,1,69,5,1762,974,627,1565
37,1,70,6,,450,429,1152
14,1,71,7,2341,440,316,1140
6,1,72,8,1242,385,766,2563
69,1,73,1,,1943,1056,2564
67,1,74,2,3785,354,805,3354
41,1,75,3,3080,465,179,333
9,1,76,4,3397,1160,549,2322
70,1,77,5,374,223,412,1130
43,1,78,6,1903,827,830,1602
35,1,79,7,1173,456,357,1467
43,2,1,2,960,340,131,494
37,2,2,3,547,511,,607
19,2,3,4,582,133,220,523
49,2,4,5,1200,279,253,522
63,2,5,6,1239,439,178,368
17,2,6,7,1149,374,339,651
8,2,7,8,570,194,256,924
0,2,8,1,2130,271,386,781
27,2,10,3,2256,,367,425
9,2,11,4,238,227,220,1012
11,2,12,5,1656,310,357,463
22,2,13,6,487,269,425,760
36,2,15,8,,250,485,640
60,2,16,1,1316,250,353,613
65,2,18,3,1550,538,150,1034
50,2,20,5,850,197,199,530
6,2,21,6,1894,200,316,629
18,2,23,8,655,495,416,671
33,2,24,1,1669,416,252,845
34,2,25,2,694,213,636,754
32,2,26,3,1019,398,443,764
59,2,27,4,360,180,288,687
64,2,28,5,1269,99,487,905
23,2,29,6,1032,177,206,502
13,2,30,7,144,262,399,1394
20,2,32,1,909,214,319,558
21,2,33,2,805,330,254,186
38,2,34,3,809,476,724,749
44,2,35,4,839,202,212,871
10,2,36,5,2251,621,527,1182
16,2,37,6,404,192,156,592
61,2,38,7,1094,441,360,1781
1,2,39,8,2188,466,871,1586
29,2,40,1,938,253,359,241
47,2,43,4,760,460,114,746
30,2,44,5,884,188,341,451
25,2,45,6,807,427,,650
