"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"54",1,12,6,54,1,1468921,1472658,3737,0,0,1,"20","mask"
"55",2,20,3,1,1,2716384,2718674,2290,1,1,1,"0","mask"
"56",2,38,3,2,1,2724513,2726933,2420,0,0,1,"0","mask"
"57",2,6,1,3,1,2734947,2737591,2644,0,0,1,"0","valid"
"58",2,17,6,4,1,2745089,2747541,2452,1,1,1,"20","mask"
"59",2,39,4,5,1,2782816,2784882,2066,1,1,1,"20","valid"
"60",2,33,4,6,1,2814077,2817342,3265,0,0,1,"20","valid"
"61",2,50,3,7,1,2840159,2842320,2161,1,1,1,"0","mask"
"62",2,35,6,8,1,2849270,2852161,2891,0,0,1,"20","mask"
"63",2,37,2,9,1,2859933,2863370,3437,1,1,1,"0","orth"
"64",2,25,2,10,1,2878265,2880855,2590,0,0,1,"0","orth"
"65",2,26,3,11,1,2890677,2893784,3107,1,1,1,"0","mask"
"66",2,27,4,12,1,2901735,2904020,2285,0,0,1,"20","valid"
"67",2,21,4,13,1,2937701,2941253,3552,1,1,1,"20","valid"
"68",2,31,2,14,1,2974159,2976523,2364,0,0,1,"0","orth"
"69",2,30,1,15,1,2990252,2992902,2650,1,1,1,"0","valid"
"70",2,4,5,16,1,3016294,3018657,2363,0,0,1,"20","orth"
"71",2,32,3,17,1,3075963,3079051,3088,1,1,1,"0","mask"
"72",2,8,3,18,1,3111412,3113877,2465,0,0,1,"0","mask"
"73",2,18,1,19,1,3119527,3121578,2051,0,0,1,"0","valid"
"74",2,29,6,20,1,3165129,3168131,3002,1,1,1,"20","mask"
"75",2,42,1,21,1,3178069,3181516,3447,1,1,1,"0","valid"
"76",2,12,1,22,1,3203193,3205537,2344,0,0,1,"0","valid"
"77",2,44,3,23,1,3219509,3222402,2893,1,1,1,"0","mask"
"78",2,36,1,24,1,3228128,3230845,2717,1,1,1,"0","valid"
"79",2,22,5,25,1,3240428,3242984,2556,1,1,1,"20","orth"
"80",2,46,5,26,1,3250557,3253110,2553,0,0,1,"20","orth"
"81",2,9,4,27,1,3271909,3276033,4124,1,1,1,"20","valid"
"82",2,14,3,28,1,3315108,3319694,4586,1,1,1,"0","mask"
"83",2,19,2,29,1,3335819,3342044,6225,1,1,1,"0","orth"
"84",2,34,5,30,1,3348858,3351540,2682,1,1,1,"20","orth"
"85",2,15,4,31,1,3358108,3360560,2452,1,1,1,"20","valid"
"86",2,3,4,32,1,3366769,3368842,2073,1,1,1,"20","valid"
"87",2,10,5,33,1,3394726,3397328,2602,0,0,1,"20","orth"
"88",2,54,1,34,1,3417793,3421108,3315,1,1,1,"0","valid"
"89",2,11,6,35,1,3427770,3429887,2117,0,1,0,"20","mask"
"90",2,13,2,36,1,3439616,3442685,3069,1,1,1,"0","orth"
"91",2,53,6,37,1,3511415,3513768,2353,0,0,1,"20","mask"
"92",2,52,5,38,1,3521368,3523381,2013,1,1,1,"20","orth"
"93",2,40,5,39,1,3537731,3541422,3691,0,0,1,"20","orth"
"94",2,1,2,40,1,3594832,3598373,3541,0,0,1,"0","orth"
"95",2,48,1,41,1,3636258,3639520,3262,0,0,1,"0","valid"
"96",2,23,6,42,1,3648791,3651011,2220,0,0,1,"20","mask"
"97",2,16,5,43,1,3660084,3662403,2319,0,0,1,"20","orth"
"98",2,5,6,44,1,3671291,3674674,3383,0,0,1,"20","mask"
"99",2,41,6,45,1,3706574,3709308,2734,0,0,1,"20","mask"
"100",2,24,1,46,1,3716553,3720009,3456,0,0,1,"0","valid"
"101",2,2,3,47,1,3744307,3747376,3069,1,1,1,"0","mask"
"102",2,51,4,48,1,3754930,3757266,2336,0,0,1,"20","valid"
"103",2,28,5,49,1,3805102,3807493,2391,0,0,1,"20","orth"
"104",2,47,6,50,1,3855612,3858000,2388,1,1,1,"20","mask"
"105",2,49,2,51,1,3865043,3866916,1873,0,0,1,"0","orth"
"106",2,45,4,52,1,3873545,3876006,2461,1,1,1,"20","valid"
"107",2,43,2,53,1,3892442,3894438,1996,0,0,1,"0","orth"
"108",2,7,2,54,1,3915483,3919447,3964,1,1,1,"0","orth"
"109",3,20,4,1,1,5023587,5028168,4581,1,1,1,"20","valid"
"110",3,17,1,2,1,5045529,5048259,2730,1,1,1,"0","valid"
"111",3,51,5,3,1,5066066,5068439,2373,0,0,1,"20","orth"
"112",3,53,1,4,1,5080162,5083380,3218,0,0,1,"0","valid"
"113",3,16,6,5,1,5100971,5103651,2680,0,0,1,"20","mask"
"114",3,8,4,6,1,5121449,5124331,2882,0,0,1,"20","valid"
"115",3,6,2,7,1,5155659,5158346,2687,0,0,1,"0","orth"
"116",3,31,3,8,1,5171161,5174812,3651,0,1,0,"0","mask"
"117",3,44,4,9,1,5192692,5195109,2417,1,1,1,"20","valid"
"118",3,10,6,10,1,5201386,5204240,2854,0,0,1,"20","mask"
"119",3,1,3,11,1,5216511,5219115,2604,0,0,1,"0","mask"
"120",3,45,5,12,1,5224959,5227052,2093,1,1,1,"20","orth"
"121",3,3,5,13,1,5238261,5240607,2346,1,1,1,"20","orth"
"122",3,25,3,14,1,5253684,5256379,2695,0,0,1,"0","mask"
"123",3,24,2,15,1,5284105,5287041,2936,0,0,1,"0","orth"
"124",3,12,2,16,1,5310977,5313554,2577,0,0,1,"0","orth"
"125",3,46,6,17,1,5320011,5323568,3557,0,0,1,"20","mask"
"126",3,29,1,18,1,5342978,5345947,2969,1,1,1,"0","valid"
"127",3,42,2,19,1,5361618,5364061,2443,1,1,1,"0","orth"
