"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"41",2,23,8,7,1,2549026,2551309,7,7,1,"invalid","0",8
"42",2,3,4,6,1,2559621,2561324,6,6,1,"phon","0",4
"43",2,32,1,6,1,2570581,2572171,6,6,1,"valid","20",1
"44",2,13,6,6,1,2585003,2586263,6,6,1,"orth","0",6
"45",2,19,4,6,1,2593584,2597491,6,6,1,"phon","0",4
"46",2,29,6,6,1,2604939,2607641,6,6,1,"orth","0",6
"47",2,10,3,7,1,2638467,2641258,7,7,1,"phon","20",3
"48",2,22,7,6,1,2689633,2691367,6,6,1,"invalid","20",7
"49",2,26,3,6,1,2702624,2704716,6,6,1,"phon","20",3
"50",2,24,1,7,1,2713388,2719768,7,7,1,"valid","20",1
"51",2,25,2,7,1,2729344,2731193,7,7,1,"valid","0",2
"52",2,15,8,6,1,2749345,2750420,6,6,1,"invalid","0",8
"53",2,2,3,6,1,2765895,2767607,6,6,1,"phon","20",3
"54",2,1,2,7,1,2822019,2824173,7,7,1,"valid","0",2
"55",2,17,2,6,1,2837914,2838971,6,6,1,"valid","0",2
"56",2,4,5,7,1,2872993,2874930,6,7,0,"orth","20",5
"57",2,20,5,6,1,2882946,2884959,6,6,1,"orth","20",5
"58",2,9,2,6,1,2895235,2896313,6,6,1,"valid","0",2
"59",2,31,8,7,1,2974681,2979764,7,7,1,"invalid","0",8
"60",2,27,4,7,1,3010850,3013723,6,7,0,"phon","0",4
"61",2,16,1,7,1,3031034,3033837,7,7,1,"valid","20",1
"62",2,5,6,7,1,3058143,3060662,7,7,1,"orth","0",6
"63",2,28,5,7,1,3078991,3080808,7,7,1,"orth","20",5
"64",2,18,3,7,1,3090526,3092505,7,7,1,"phon","20",3
"65",3,11,5,7,1,28189151,28191943,7,7,1,"orth","20",5
"66",3,29,7,6,1,28240648,28242779,6,6,1,"invalid","20",7
"67",3,18,4,7,1,28336981,28339292,7,7,1,"phon","0",4
"68",3,20,6,6,1,28367060,28370200,6,6,1,"orth","0",6
"69",3,26,4,6,1,28383136,28385989,6,6,1,"phon","0",4
"70",3,2,4,6,1,28413082,28416283,6,6,1,"phon","0",4
"71",3,14,8,6,1,28426584,28430237,6,6,1,"invalid","0",8
"72",3,31,1,7,1,28453718,28461294,7,7,1,"valid","20",1
"73",3,6,8,7,1,28500063,28502696,6,7,0,"invalid","0",8
"74",3,4,6,7,1,28559579,28561005,7,7,1,"orth","0",6
"75",3,24,2,7,1,28580612,28582913,7,7,1,"valid","0",2
"76",3,27,5,7,1,28599028,28600702,7,7,1,"orth","20",5
"77",3,30,8,6,1,28611534,28613381,6,6,1,"invalid","0",8
"78",3,22,8,6,1,28618903,28620492,6,6,1,"invalid","0",8
"79",3,16,2,7,1,28626616,28629062,7,7,1,"valid","0",2
"80",3,28,6,7,1,28636277,28638493,7,7,1,"orth","0",6
"81",3,1,3,7,1,28697242,28699909,7,7,1,"phon","20",3
"82",3,21,7,6,1,28705924,28707678,6,6,1,"invalid","20",7
"83",3,3,5,6,1,28714425,28716038,6,6,1,"orth","20",5
"84",3,10,4,7,1,28728874,28730901,7,7,1,"phon","0",4
"85",3,7,1,6,1,28741198,28744911,6,6,1,"valid","20",1
"86",3,25,3,7,1,28758640,28760819,7,7,1,"phon","20",3
"87",3,5,7,7,1,28784409,28786319,7,7,1,"invalid","20",7
"88",3,19,5,6,1,28794099,28797237,6,6,1,"orth","20",5
"89",3,13,7,6,1,28809767,28811428,6,6,1,"invalid","20",7
"90",3,9,3,6,1,28841325,28843724,6,6,1,"phon","20",3
"91",3,15,1,6,1,28850047,28851465,6,6,1,"valid","20",1
"92",3,12,6,7,1,28875994,28878211,7,7,1,"orth","0",6
"93",3,32,2,6,1,28884655,28886469,6,6,1,"valid","0",2
"94",3,8,2,7,1,28901991,28903237,7,7,1,"valid","0",2
"95",3,23,1,7,1,28909738,28911245,7,7,1,"valid","20",1
"96",3,17,3,6,1,28934543,28936152,6,6,1,"phon","20",3
"97",4,27,6,7,1,7345338,7346635,7,7,1,"orth","0",6
"98",4,31,2,7,1,7380066,7381268,7,7,1,"valid","0",2
"99",4,21,8,6,1,7402598,7404160,6,6,1,"invalid","0",8
"100",4,29,8,6,1,7415732,7417012,6,6,1,"invalid","0",8
"101",4,4,7,7,1,7422338,7423334,7,7,1,"invalid","20",7
"102",4,22,1,6,1,7438696,7440682,6,6,1,"valid","20",1
"103",4,28,7,7,1,7504144,7505450,7,7,1,"invalid","20",7
"104",4,11,6,7,1,7512539,7513927,7,7,1,"orth","0",6
"105",4,7,2,6,1,7568785,7570549,6,6,1,"valid","0",2
"106",4,13,8,6,1,7577161,7578174,6,6,1,"invalid","0",8
"107",4,24,3,7,1,7599859,7601743,7,7,1,"phon","20",3
"108",4,30,1,6,1,7613486,7614360,6,6,1,"valid","20",1
"109",4,1,4,7,1,7622329,7624195,7,7,1,"phon","0",4
"110",4,10,5,7,1,7646139,7648944,7,7,1,"orth","20",5
"111",4,12,7,7,1,7659016,7660258,7,7,1,"invalid","20",7
"112",4,32,3,6,1,7677005,7678407,6,6,1,"phon","20",3
"113",4,20,7,6,1,7690207,7693130,6,6,1,"invalid","20",7
"114",4,6,1,7,1,7706796,7708687,7,7,1,"valid","20",1
"115",4,5,8,7,1,7730604,7732138,7,7,1,"invalid","0",8
"116",4,2,5,6,1,7773299,7775136,6,6,1,"orth","20",5
"117",4,8,3,7,1,7785240,7786576,7,7,1,"phon","20",3
"118",4,23,2,7,1,7803427,7804505,7,7,1,"valid","0",2
"119",4,3,6,6,1,7814507,7815604,6,6,1,"orth","0",6
