"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"10",1,5,69,4635046,4643337,8291,8.3,"20"
"11",1,8,32,4646477,4655398,8921,8.9,"0"
"13",1,3,51,4659568,4666852,7284,7.3,"20"
"14",1,4,4,4668879,4676379,7500,7.5,"0"
"16",1,7,55,4680312,4687764,7452,7.5,"20"
"17",1,7,23,4689848,4698823,8975,9,"20"
"19",1,8,72,4703109,4711507,8398,8.4,"0"
"20",1,5,29,4713012,4720233,7221,7.2,"20"
"22",1,1,57,4724729,4729539,4810,4.8,"20"
"23",1,4,76,4731773,4740510,8737,8.7,"0"
"24",1,7,63,4742659,4750827,8168,8.2,"20"
"25",1,6,30,4752444,4760270,7826,7.8,"0"
"27",1,3,27,4764448,4769330,4882,4.9,"20"
"29",1,2,42,4774563,4781927,7364,7.4,"0"
"30",1,6,62,4783337,4792272,8935,8.9,"0"
"31",1,7,71,4794651,4800026,5375,5.4,"20"
"32",1,8,48,4802080,4808554,6474,6.5,"0"
"33",1,8,56,4809871,4813275,3404,3.4,"0"
"34",1,3,3,4816561,4827988,11427,11.4,"20"
"36",1,7,31,4832044,4840786,8742,8.7,"20"
"38",1,3,11,4844531,4854597,10066,10.1,"20"
"40",1,6,6,4858410,4863838,5428,5.4,"0"
"42",1,1,17,4867929,4873538,5609,5.6,"20"
"44",1,7,39,4877345,4883939,6594,6.6,"20"
"45",1,6,54,4885512,4892713,7201,7.2,"0"
"46",1,4,44,4894618,4900783,6165,6.2,"0"
"47",1,3,59,4902291,4908360,6069,6.1,"20"
"48",1,5,21,4909578,4914438,4860,4.9,"20"
"50",1,8,8,4919440,4926327,6887,6.9,"0"
"52",1,4,20,4930993,4934683,3690,3.7,"0"
"54",1,4,12,4940088,4943392,3304,3.3,"0"
"56",1,3,19,4949931,4953064,3133,3.1,"20"
"58",1,2,58,4958921,4967355,8434,8.4,"0"
"59",1,8,40,4969135,4976477,7342,7.3,"0"
"60",1,2,50,4978011,4980907,2896,2.9,"0"
"61",1,1,25,4982430,4988763,6333,6.3,"20"
"63",1,8,24,4992844,4999165,6321,6.3,"0"
"65",1,4,52,5003719,5009008,5289,5.3,"0"
"66",1,4,60,5011470,5017931,6461,6.5,"0"
"67",1,8,80,5019540,5026492,6952,7,"0"
"68",1,7,79,5030107,5036259,6152,6.2,"20"
"69",1,5,37,5039536,5043131,3595,3.6,"20"
"70",1,6,70,5044844,5051188,6344,6.3,"0"
"71",1,1,33,5053447,5056803,3356,3.4,"20"
"72",1,1,41,5058882,5065082,6200,6.2,"20"
"73",1,4,28,5066829,5071397,4568,4.6,"0"
"75",1,3,75,5075764,5080531,4767,4.8,"20"
"76",1,1,49,5081822,5086875,5053,5.1,"20"
"77",1,6,78,5088718,5095466,6748,6.7,"0"
"78",1,7,47,5097262,5103248,5986,6,"20"
"79",1,5,13,5105679,5114706,9027,9,"20"
"81",1,6,22,5119001,5126489,7488,7.5,"0"
"83",1,3,43,5131758,5136521,4763,4.8,"20"
"84",1,2,10,5140167,5145377,5210,5.2,"0"
"86",1,3,67,5150011,5155355,5344,5.3,"20"
"87",1,8,64,5156764,5162629,5865,5.9,"0"
"88",1,1,9,5165483,5170069,4586,4.6,"20"
"90",1,5,45,5174439,5179630,5191,5.2,"20"
"91",1,2,18,5181099,5188810,7711,7.7,"0"
"93",1,2,34,5193824,5198326,4502,4.5,"0"
